变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice1_pt,choice1_th,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice2_pt,choice2_th,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice3_pt,choice3_th,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,choice4_pt,choice4_th,answer,imgID
254,3,50,340,剧场版动画【七夜的许愿星 基拉祈】中是谁的纯真之心唤醒了基拉祈？,劇場版動畫【七夜的許願星 基拉祈】中是誰的純真之心喚醒了基拉祈？,"In movie [Wishing Star of the Seven Nights], whose innocence awakens Jirachi?",,,,,小胜,小勝,Max,Max,Max,Max,Max,小霞,小霞,Misty,Misty,Misty,Misty,Misty,小智,小智,Ash,Ash,Ash,Ash,Ash,小刚,小剛,Brock,Brock,Brock,Brock,Brock,1,
255,3,50,340,剧场版动画【梦幻与波导的勇者】中在很久以前的精灵大战中被称为“波导的勇者”的是谁？,劇場版動畫【夢幻與波導的勇者】中在很久以前的精靈大戰中被稱為“波導的勇者”的是誰？,Who was called the "Aura Warrior" in the movie "Lucario and the Mystery of Mew" in the Pokémon battle long ago?,,,,,亚朗,亞朗,Sir Aaron,Sir Aaron,Sir Aaron,Sir Aaron,Sir Aaron,小遥,小遙,May,May,May,May,May,琪朵·夏玛兹,琪朵·夏瑪茲,Kidd Summers,Kidd Summers,Kidd Summers,Kidd Summers,Kidd Summers,摩尼尼,摩尼尼,Mime Jr.,Mime Jr.,Mime Jr.,Mime Jr.,Mime Jr.,1,
256,3,50,340,剧场版动画【梦幻与波导的勇者】中梦幻突然出现带走了哪两只精灵？,劇場版動畫【夢幻與波導的勇者】中夢幻突然出現帶走了哪兩只精靈？,Which two Pokémons did Mew suddenly appear and took away in movie [Lucario and the Mystery of Mew]?,,,,,皮卡丘和喵喵,皮卡丘和喵喵,Pikachu and Meowth,Pikachu and Meowth,Pikachu and Meowth,Pikachu and Meowth,Pikachu and Meowth,皮卡丘和木守宫,皮卡丘和木守宮,Pikachu and Treecko,Pikachu and Treecko,Pikachu and Treecko,Pikachu and Treecko,Pikachu and Treecko,喵喵和风铃铃,喵喵和風鈴鈴,Meowth and Chimecho,Meowth and Chimecho,Meowth and Chimecho,Meowth and Chimecho,Meowth and Chimecho,果然翁和皮卡丘,果然翁和皮卡丘,Wobbuffet and Pikachu,Wobbuffet and Pikachu,Wobbuffet and Pikachu,Wobbuffet and Pikachu,Wobbuffet and Pikachu,1,
257,3,50,340,剧场版动画【决战时空之塔】中白杨镇出现了一只能让精灵们昏厥并产生恶梦的精灵，请问是哪只来历不明的精灵？,劇場版動畫【決戰時空之塔】中白楊鎮出現了一只能讓精靈們昏厥並產生惡夢的精靈，請問是哪只來歷不明的精靈？,"In movie [The Rise of Darkrai], there is a Pokémon in Alamos Town that can make Pokémons faint and have nightmares. Which Pokémon is it?",,,,,达克莱伊,達克萊伊,Darkrai,Darkrai,Darkrai,Darkrai,Darkrai,帝牙卢卡,帝牙盧卡,Dialga,Dialga,Dialga,Dialga,Dialga,帕路奇亚,帕路奇亞,Palkia,Palkia,Palkia,Palkia,Palkia,胡帕,胡帕,Hoopa,Hoopa,Hoopa,Hoopa,Hoopa,1,
258,3,50,341,剧场版动画【阿尔宙斯超克的时空】中继阿尔宙斯、帝牙卢卡、帕路奇亚和骑拉帝纳后第五只登场的传说精灵是什么？,劇場版動畫【阿爾宙斯超克的時空】中繼阿爾宙斯、帝牙盧卡、帕路奇亞和騎拉帝納後第五只登場的傳說精靈是什麽？,"In movie [Arceus and the Jewel of Life] What is the fifth Legendary Pokémon to appear after Arceus, Dialga, Palkia, and Giratina?",,,,,席多蓝恩,席多藍恩,Heatran,Heatran,Heatran,Heatran,Heatran,超梦,超夢,Mewtwo,Mewtwo,Mewtwo,Mewtwo,Mewtwo,梦幻,夢幻,Mew,Mew,Mew,Mew,Mew,固拉多,固拉多,Groudon,Groudon,Groudon,Groudon,Groudon,1,
259,3,50,341,剧场版动画【精灵巡护员与苍海的王子】中玛纳霏曾认定谁是妈妈？,劇場版動畫【精靈巡護員與蒼海的王子】中瑪納霏曾認定誰是媽媽？,"In movie [Pokémon Ranger and the Temple of the Sea], who did Manaphy think is his mother?",,,,,小遥,小遙,May,May,May,May,May,小霞,小霞,Misty,Misty,Misty,Misty,Misty,小光,小光,Dawn,Dawn,Dawn,Dawn,Dawn,小胜,小勝,Max,Max,Max,Max,Max,1,
260,3,50,341,剧场版动画【裂空的访问者 代欧奇希斯】中代欧奇希斯的战斗对象是谁？,劇場版動畫【裂空的訪問者 代歐奇希斯】中代歐奇希斯的戰鬥對象是誰？,In movie [Deoxys the Visitor] Who is the target of Deoxys's to fight with?,,,,,裂空座,裂空座,Rayquaza,Rayquaza,Rayquaza,Rayquaza,Rayquaza,固拉多,固拉多,Groudon,Groudon,Groudon,Groudon,Groudon,盖欧卡,蓋歐卡,Kyogre,Kyogre,Kyogre,Kyogre,Kyogre,凤王,鳳王,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,1,
261,3,50,341,剧场版动画【幻影的霸者 索罗亚克】中哪几只神兽在街道上暴走？,劇場版動畫【幻影的霸者 索羅亞克】中哪幾只神獸在街道上暴走？,"In movie [Zoroark: Master of Illusions], which legendary Pokémon is raging on the streets?",,,,,雷公，炎帝，水君,雷公，炎帝，水君,"Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune",火焰鸟，闪电鸟，急冻鸟,火焰鳥，閃電鳥，急凍鳥,"Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno",雷吉洛克，雷吉斯奇鲁，雷吉艾斯,雷吉洛克，雷吉斯奇魯，雷吉艾斯,"Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice",帝牙卢卡，帕路奇亚，骑拉帝纳,帝牙盧卡，帕路奇亞，騎拉帝納,"Dialga, Palkia, Giratina","Dialga, Palkia, Giratina","Dialga, Palkia, Giratina","Dialga, Palkia, Giratina","Dialga, Palkia, Giratina",1,
262,3,50,341,剧场版动画【酋雷姆VS圣剑士 凯路迪欧】中酋雷姆可以结合谁的力量转变成别的形态？,劇場版動畫【酋雷姆VS聖劍士 凱路迪歐】中酋雷姆可以結合誰的力量轉變成別的形態？,"In movie [Kyurem VS. The Sword of Justice], whose power can Kyurem combine and transformed into another form?",,,,,捷克罗姆，莱希拉姆,捷克羅姆，萊希拉姆,"Zekrom, Reshiram","Zekrom, Reshiram","Zekrom, Reshiram","Zekrom, Reshiram","Zekrom, Reshiram",帕路奇亚，帝牙卢卡,帕路奇亞，帝牙盧卡,"Palkia, Dialga","Palkia, Dialga","Palkia, Dialga","Palkia, Dialga","Palkia, Dialga",固拉多，盖欧卡,固拉多，蓋歐卡,"Groudon, Kyogre","Groudon, Kyogre","Groudon, Kyogre","Groudon, Kyogre","Groudon, Kyogre",梦幻，超梦,夢幻，超夢,"Mew, Mewtwo","Mew, Mewtwo","Mew, Mewtwo","Mew, Mewtwo","Mew, Mewtwo",1,
263,3,50,342,剧场版动画【阿尔宙斯 超克的时空】在谁的帮助下小智一行人穿越时空？,劇場版動畫【阿爾宙斯 超克的時空】在誰的幫助下小智一行人穿越時空？,In movie [Arceus and the Jewel of Life] Ash and his party travel through time and space under whose help?,,,,,帝牙卢卡,帝牙盧卡,Dialga,Dialga,Dialga,Dialga,Dialga,帕路奇亚,帕路奇亞,Palkia,Palkia,Palkia,Palkia,Palkia,骑拉帝纳,騎拉帝納,Giratina,Giratina,Giratina,Giratina,Giratina,阿尔宙斯,阿爾宙斯,Arceus,Arceus,Arceus,Arceus,Arceus,1,
264,3,50,342,剧场版动画【骑拉帝纳与冰空的花束】中骑拉帝纳追踪帝牙卢卡的原因是什么？,劇場版動畫【騎拉帝納與冰空的花束】中騎拉帝納追蹤帝牙盧卡的原因是什麽？,"In the movie [Giratina and the Sky Warrior], what is the reason Giratina is tracking Dialga?",,,,,因为反转世界受到了污染,因為反轉世界受到了汙染,Because the Reverse World is polluted,Because the Reverse World is polluted,Because the Reverse World is polluted,Because the Reverse World is polluted,Because the Reverse World is polluted,因为以往的恩怨,因為以往的恩怨,Because of past grudges,Because of past grudges,Because of past grudges,Because of past grudges,Because of past grudges,因为都有时空穿梭的能力,因為都有時空穿梭的能力,Because they have the ability to travel through time and space,Because they have the ability to travel through time and space,Because they have the ability to travel through time and space,Because they have the ability to travel through time and space,Because they have the ability to travel through time and space,夺回帝牙卢卡身上的某些物品,奪回帝牙盧卡身上的某些物品,Retake certain items from Dialga,Retake certain items from Dialga,Retake certain items from Dialga,Retake certain items from Dialga,Retake certain items from Dialga,1,
265,3,50,342,剧场版动画【光环的超魔神】中主角惩戒胡帕最喜欢吃的食物是？,劇場版動畫【光環的超魔神】中主角懲戒胡帕最喜歡吃的食物是？,What is the favorite food of Hoopa Confined in movie [Hoopa and the Clash of Ages] ?,,,,,甜甜圈,甜甜圈,Donuts,Donuts,Donuts,Donuts,Donuts,马卡龙,馬卡龍,Macaron,Macaron,Macaron,Macaron,Macaron,草莓蛋糕,草莓蛋糕,Strawberry Cake,Strawberry Cake,Strawberry Cake,Strawberry Cake,Strawberry Cake,糖霜面包,糖霜面包,Icing bread,Icing bread,Icing bread,Icing bread,Icing bread,1,
266,3,50,342,剧场版动画【结晶塔的帝王】中片尾中小智一行人与小凌告别，小美得到了一只精灵并与父亲重逢。请问是哪只精灵？,劇場版動畫【結晶塔的帝王】中片尾中小智一行人與小淩告別，小美得到了一只精靈並與父親重逢。請問是哪只精靈？,"In movie [Spell of the Unown], in the end of the movie, Ash and his partners bid farewell toLisa. Moli gets a Pokémon and reunites with her father. Which Pokémon is it?",,,,,熊宝宝,熊寶寶,Teddiursa,Teddiursa,Teddiursa,Teddiursa,Teddiursa,皮丘,皮丘,Pichu,Pichu,Pichu,Pichu,Pichu,正电拍拍,正電拍拍,Plusle,Plusle,Plusle,Plusle,Plusle,巴大蝶,巴大蝶,Butterfree,Butterfree,Butterfree,Butterfree,Butterfree,1,
267,3,50,342,剧场版动画【梦幻与波导的勇者路卡利欧】中，小智为了寻找皮卡丘进入世界初始之树中、却被世界树当成入侵细菌吞噬，请问最后是谁救了小智？,劇場版動畫【夢幻與波導的勇者路卡利歐】中，小智為了尋找皮卡丘進入世界初始之樹中、卻被世界樹當成入侵細菌吞噬，請問最後是誰救了小智？,"In movie [Lucario and the Mystery of Mew], Ash entered the tree of beginning in order to find Pikachu, but was swallowed by the tree as an invading bacteria. Who saved Ash in the end?",,,,,梦幻,夢幻,Mew,Mew,Mew,Mew,Mew,超梦,超夢,Mewtwo,Mewtwo,Mewtwo,Mewtwo,Mewtwo,时拉比,時拉比,Celebi,Celebi,Celebi,Celebi,Celebi,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,1,
268,1,50,160,【常识】我们常说的“一日”是指：,【常識】我們常說的“一日”是指：,[Common sense] The "one day" we often say refers to:,,,,,地球自转一周的时间,地球自轉一周的時間,The time of the earth's rotation,The time of the earth's rotation,The time of the earth's rotation,The time of the earth's rotation,The time of the earth's rotation,地球公转一周的时间,地球公轉一周的時間,The time of the earth's revolution,The time of the earth's revolution,The time of the earth's revolution,The time of the earth's revolution,The time of the earth's revolution,地球公转半周的时间,地球公轉半周的時間,Half time of the earth's revolution,Half time of the earth's revolution,Half time of the earth's revolution,Half time of the earth's revolution,Half time of the earth's revolution,地球自转半周的时间,地球自轉半周的時間,The time for the earth half rotation,The time for the earth half rotation,The time for the earth half rotation,The time for the earth half rotation,The time for the earth half rotation,1,
269,1,50,161,【常识】电脑的中央处理器英文缩写是？,【常識】電腦的中央處理器英文縮寫是？,[Common Sense] What is the abbreviation of the central processing unit of a computer?,,,,,CPU,CPU,CPU,CPU,CPU,CPU,CPU,GDP,GDP,GDP,GDP,GDP,GDP,GDP,NBA,NBA,NBA,NBA,NBA,NBA,NBA,CPV,CPV,CPV,CPV,CPV,CPV,CPV,1,
270,1,50,162,【常识】一千克铁和一千克木头哪个重？,【常識】一千克鐵和一千克木頭哪個重？,[Common Sense] Which one is heavier? 1 pound of Iron or 1 pound of wood?,,,,,一样重,一樣重,Same weight,Same weight,Same weight,Same weight,Same weight,木头,木頭,Wood,Wood,Wood,Wood,Wood,铁,鐵,Iron,Iron,Iron,Iron,Iron,没有可比性,沒有可比性,Not comparable,Not comparable,Not comparable,Not comparable,Not comparable,1,
271,2,50,346,【常识】下列在光合作用的产物中，不在叶绿体内合成的是？,【常識】下列在光合作用的產物中，不在葉綠體內合成的是？,[Common sense] Which of the following products of photosynthesis are not synthesized in the chloroplast?,,,,,蔗糖,蔗糖,Cane sugar,Cane sugar,Cane sugar,Cane sugar,Cane sugar,淀粉,澱粉,Starch,Starch,Starch,Starch,Starch,蛋白质,蛋白質,Protein,Protein,Protein,Protein,Protein,脂质,脂質,Fat,Fat,Fat,Fat,Fat,1,
272,2,50,347,【常识】下列关于惯性的说法中，正确的是？,【常識】下列關於慣性的說法中，正確的是？,[Common sense] Which of the following statements about inertia is correct?,,,,,物体的质量越大，惯性越大,物體的質量越大，慣性越大,"The greater the mass of the object, the greater the inertia","The greater the mass of the object, the greater the inertia","The greater the mass of the object, the greater the inertia","The greater the mass of the object, the greater the inertia","The greater the mass of the object, the greater the inertia",物体所受合外力越大，惯性越大,物體所受合外力越大，慣性越大,"The greater the external force on the object, the greater the inertia","The greater the external force on the object, the greater the inertia","The greater the external force on the object, the greater the inertia","The greater the external force on the object, the greater the inertia","The greater the external force on the object, the greater the inertia",物体做自由落体运动时惯性消失,物體做自由落體運動時慣性消失,The inertia disappears when the object moves in free fall,The inertia disappears when the object moves in free fall,The inertia disappears when the object moves in free fall,The inertia disappears when the object moves in free fall,The inertia disappears when the object moves in free fall,物体的速度越大，惯性越大,物體的速度越大，慣性越大,"The greater the speed of the object, the greater the inertia","The greater the speed of the object, the greater the inertia","The greater the speed of the object, the greater the inertia","The greater the speed of the object, the greater the inertia","The greater the speed of the object, the greater the inertia",1,
273,2,50,349,【常识】圆周率小数点后第12位是？,【常識】圓周率小數點後第12位是？,[Common Sense] What is the 12th digit after the decimal point of Pi?,,,,,9,9,9,9,9,9,9,8,8,8,8,8,8,8,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1,
274,2,50,354,【常识】局域网的英文缩写是？,【常識】局域網的英文縮寫是？,[Common Sense] What is the English abbreviation of Local Area Network?,,,,,LAN,LAN,LAN,LAN,LAN,LAN,LAN,ADSL,ADSL,ADSL,ADSL,ADSL,ADSL,ADSL,MAC,MAC,MAC,MAC,MAC,MAC,MAC,Internet,Internet,Internet,Internet,Internet,Internet,Internet,1,
275,2,50,357,【常识】对人体来说安全电压最大值为多少？,【常識】對人體來說安全電壓最大值為多少？,[Common sense] What is the maximum safe voltage for the human body?,,,,,36,36,36,36,36,36,36,37,37,37,37,37,37,37,38,38,38,38,38,38,38,40,40,40,40,40,40,40,1,
276,3,50,351,【常识】自然界中，有“智慧元素”之称的是？,【常識】自然界中，有“智慧元素”之稱的是？,"[Common sense] In nature, what is called the ""element of wisdom""?",,,,,碘,碘,Iodine,Iodine,Iodine,Iodine,Iodine,铁,鐵,Iron,Iron,Iron,Iron,Iron,钙,鈣,Calcium,Calcium,Calcium,Calcium,Calcium,锌,鋅,Zinc,Zinc,Zinc,Zinc,Zinc,1,
277,3,50,352,【常识】荷兰的风车主要用于？,【常識】荷蘭的風車主要用於？,[Common sense] Dutch windmills are mainly used for?,,,,,排水,排水,Drain,Drain,Drain,Drain,Drain,观光,觀光,Sightseeing,Sightseeing,Sightseeing,Sightseeing,Sightseeing,发电,發電,Power generation,Power generation,Power generation,Power generation,Power generation,生风,生風,Generate wind,Generate wind,Generate wind,Generate wind,Generate wind,1,
278,3,50,353,【常识】下列不属于世界七大奇迹的是？,【常識】下列不屬於世界七大奇跡的是？,[Common Sense] Which of the following are not among the Seven Wonders of the World?,,,,,宙斯神像,宙斯神像,Statue of Zeus,Statue of Zeus,Statue of Zeus,Statue of Zeus,Statue of Zeus,巴比伦空中花园,巴比倫空中花園,Hanging Gardens of Babylon,Hanging Gardens of Babylon,Hanging Gardens of Babylon,Hanging Gardens of Babylon,Hanging Gardens of Babylon,埃及金字塔,埃及金字塔,Egyptian Pyramids,Egyptian Pyramids,Egyptian Pyramids,Egyptian Pyramids,Egyptian Pyramids,秦始皇陵兵马俑,秦始皇陵兵馬俑,Mausoleum of the First Qin Emperor,Mausoleum of the First Qin Emperor,Mausoleum of the First Qin Emperor,Mausoleum of the First Qin Emperor,Mausoleum of the First Qin Emperor,1,
279,3,50,354,【常识】维纳斯是罗马神话中的？,【常識】維納斯是羅馬神話中的？,[Common sense] What position is Venus in Roman mythology?,,,,,爱神与美神,愛神與美神,Eros and Beauty,Eros and Beauty,Eros and Beauty,Eros and Beauty,Eros and Beauty,智慧之神,智慧之神,God of Wisdom,God of Wisdom,God of Wisdom,God of Wisdom,God of Wisdom,太阳神,太陽神,God of sun,God of sun,God of sun,God of sun,God of sun,冥王,冥王,God of netherworld,God of netherworld,God of netherworld,God of netherworld,God of netherworld,1,
280,3,50,355,【常识】世界上最危险的蜜蜂是？,【常識】世界上最危險的蜜蜂是？,[Common sense] What is the most dangerous bee in the world?,,,,,虎头蜂,虎頭蜂,Hornet,Hornet,Hornet,Hornet,Hornet,黑大蜜蜂,黑大蜜蜂,Black bee,Black bee,Black bee,Black bee,Black bee,沙巴蜂,沙巴蜂,Saban bee,Saban bee,Saban bee,Saban bee,Saban bee,印度蜂,印度蜂,Indian Bee,Indian Bee,Indian Bee,Indian Bee,Indian Bee,1,
281,3,50,356,【常识】发电机的形式很多，但其工作原理都基于电磁感应定律和电磁力定律。在第二次工业革命中首先研制成发电机的是？,【常識】發電機的形式很多，但其工作原理都基於電磁感應定律和電磁力定律。在第二次工業革命中首先研制成發電機的是？,"[Common sense] There are many forms of generators, but their working principles are based on the law of electromagnetic induction and the law of electromagnetic force. Who first developed the generator in the second industrial revolution?",,,,,法拉第,法拉第,Faraday,Faraday,Faraday,Faraday,Faraday,史蒂芬孙,史蒂芬孫,Stephenson,Stephenson,Stephenson,Stephenson,Stephenson,富兰克林,富蘭克林,Franklin,Franklin,Franklin,Franklin,Franklin,卡尔·本茨,卡爾·本茨,Carl Benz,Carl Benz,Carl Benz,Carl Benz,Carl Benz,1,
282,3,50,357,【常识】世界石油储量最多的是哪一个国家？,【常識】世界石油儲量最多的是哪一個國家？,[Common Sense] Which country has the most oil reserves in the world?,,,,,沙特阿拉伯,沙特阿拉伯,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,伊朗,伊朗,Iran,Iran,Iran,Iran,Iran,伊拉克,伊拉克,Iraq,Iraq,Iraq,Iraq,Iraq,柬埔寨,柬埔寨,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,1,
283,3,50,358,【常识】下列著名建筑物哪个不属于法国？,【常識】下列著名建築物哪個不屬於法國？,[Common sense] Which of the following famous buildings does not belong to France?,,,,,比萨斜塔,比薩斜塔,Leaning Tower of Pisa,Leaning Tower of Pisa,Leaning Tower of Pisa,Leaning Tower of Pisa,Leaning Tower of Pisa,凯旋门,凱旋門,Arc de Triomphe,Arc de Triomphe,Arc de Triomphe,Arc de Triomphe,Arc de Triomphe,埃菲尔铁塔,埃菲爾鐵塔,Eiffel tower,Eiffel tower,Eiffel tower,Eiffel tower,Eiffel tower,巴黎圣母院,巴黎聖母院,Notre Dame de Paris,Notre Dame de Paris,Notre Dame de Paris,Notre Dame de Paris,Notre Dame de Paris,1,
284,3,50,359,【常识】飞机的机翼是用来做什么的？,【常識】飛機的機翼是用來做什麽的？,[Common sense] What are the wings of an airplane used for?,,,,,增加升力,增加升力,Increase lift,Increase lift,Increase lift,Increase lift,Increase lift,控制方向,控制方向,Control direction,Control direction,Control direction,Control direction,Control direction,控制拉升和下降,控制拉升和下降,Control pull up and down,Control pull up and down,Control pull up and down,Control pull up and down,Control pull up and down,没什么作用,沒什麽作用,No effect,No effect,No effect,No effect,No effect,1,
285,3,50,360,【常识】乙醇正确的分子式是怎么样？,【常識】乙醇正確的分子式是怎麽樣？,[Common sense] What is the correct molecular formula of ethanol?,,,,,C2H5OH,C2H5OH,C2H5OH,C2H5OH,C2H5OH,C2H5OH,C2H5OH,CH3COH,CH3COH,CH3COH,CH3COH,CH3COH,CH3COH,CH3COH,(NH)4CO3,(NH)4CO3,(NH)4CO3,(NH)4CO3,(NH)4CO3,(NH)4CO3,(NH)4CO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,1,
286,3,50,361,【常识】标准键盘的”T“键左边是什么键？,【常識】標準鍵盤的”T“鍵左邊是什麽鍵？,[Common sense] What key is on the left of the "T" key on a standard keyboard?,,,,,R,R,R,R,R,R,R,H,H,H,H,H,H,H,Y,Y,Y,Y,Y,Y,Y,E,E,E,E,E,E,E,1,
287,3,50,362,【常识】下列太阳活动对地球的影响中描述不正确的是：,【常識】下列太陽活動對地球的影響中描述不正確的是：,[Common Sense] What is incorrect in the description of the influence by solar activities on the earth?,,,,,影响长波通讯,影響長波通訊,Affect Longwave communications,Affect Longwave communications,Affect Longwave communications,Affect Longwave communications,Affect Longwave communications,影响气候,影響氣候,Affects climate,Affects climate,Affects climate,Affects climate,Affects climate,影响短波通讯,影響短波通訊,Affect shortwave communications,Affect shortwave communications,Affect shortwave communications,Affect shortwave communications,Affect shortwave communications,产生磁暴现象,產生磁暴現象,Generate a magnetic storm,Generate a magnetic storm,Generate a magnetic storm,Generate a magnetic storm,Generate a magnetic storm,1,
288,3,50,363,【常识】化学与生活密切相关，下列叙述错误的是,【常識】化學與生活密切相關，下列敘述錯誤的是,"[Common sense] Chemistry is closely related to life, the following statement is wrong",,,,,活性炭具有除异味和杀菌作用,活性炭具有除異味和殺菌作用,Activate carbon has deodorization and sterilization effect,Activate carbon has deodorization and sterilization effect,Activate carbon has deodorization and sterilization effect,Activate carbon has deodorization and sterilization effect,Activate carbon has deodorization and sterilization effect,铝合金大量用于高铁建设,鋁合金大量用於高鐵建設,Aluminium alloy is used in high-speed rail construction,Aluminium alloy is used in high-speed rail construction,Aluminium alloy is used in high-speed rail construction,Aluminium alloy is used in high-speed rail construction,Aluminium alloy is used in high-speed rail construction,碘酒可用于皮肤外用消毒,碘酒可用於皮膚外用消毒,Iodine can be used for external skin disinfection,Iodine can be used for external skin disinfection,Iodine can be used for external skin disinfection,Iodine can be used for external skin disinfection,Iodine can be used for external skin disinfection,高纯硅可用于制作光感电池,高純矽可用於制作光感電池,High-purity silicon can be used to make light-sensitive batteries,High-purity silicon can be used to make light-sensitive batteries,High-purity silicon can be used to make light-sensitive batteries,High-purity silicon can be used to make light-sensitive batteries,High-purity silicon can be used to make light-sensitive batteries,1,
289,3,50,364,【常识】“野兽主义”的代表画家是？,【常識】“野獸主義”的代表畫家是？,[Common Sense] Who is the representative painter of "Fauvism"?,,,,,马蒂斯,馬蒂斯,Matisse,Matisse,Matisse,Matisse,Matisse,毕加索,畢加索,Picasso,Picasso,Picasso,Picasso,Picasso,梵高,梵高,Van Gogh,Van Gogh,Van Gogh,Van Gogh,Van Gogh,雷诺阿,雷諾阿,Renoir,Renoir,Renoir,Renoir,Renoir,1,
290,3,50,365,【常识】可以反映“酸性土壤”的指示性植物是？,【常識】可以反映“酸性土壤”的指示性植物是？,[Common Sense] Which indicator plants can reflect "acid soil"?,,,,,铁芒萁,鐵芒萁,OldWorld forked fern,OldWorld forked fern,OldWorld forked fern,OldWorld forked fern,OldWorld forked fern,碱蓬,堿蓬,Suaeda,Suaeda,Suaeda,Suaeda,Suaeda,骆驼刺,駱駝刺,Alhagi sparsi,Alhagi sparsi,Alhagi sparsi,Alhagi sparsi,Alhagi sparsi,芦苇,蘆葦,Reed,Reed,Reed,Reed,Reed,1,
291,3,50,366,【常识】在三倍放大镜下，三角板角的度数会？,【常識】在三倍放大鏡下，三角板角的度數會？,"[Common sense] Under a three-fold magnifying glass, what will the degree of the angle become?",,,,,角度不变,角度不變,Angle unchanged,Angle unchanged,Angle unchanged,Angle unchanged,Angle unchanged,放大一倍,放大一倍,Zoom in 1 time,Zoom in 1 time,Zoom in 1 time,Zoom in 1 time,Zoom in 1 time,放大三倍,放大三倍,Magnify three times,Magnify three times,Magnify three times,Magnify three times,Magnify three times,角度变化,角度變化,Angle change,Angle change,Angle change,Angle change,Angle change,1,
292,3,50,367,【常识】在所有巨大的猛兽中，哪种动物的心脏最小？,【常識】在所有巨大的猛獸中，哪種動物的心臟最小？,"[Common sense] Among all the giant beasts, which animal has the smallest heart?",,,,,狮子,獅子,Lion,Lion,Lion,Lion,Lion,老虎,老虎,Tiger,Tiger,Tiger,Tiger,Tiger,猎豹,獵豹,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,野猪,野豬,Wild boar,Wild boar,Wild boar,Wild boar,Wild boar,1,
293,3,50,368,【常识】地壳中含量最多的元素是？,【常識】地殼中含量最多的元素是？,[Common sense] What is the most abundant element in the earth crust?,,,,,氧,氧,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen,氮,氮,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,铝,鋁,Aluminum,Aluminum,Aluminum,Aluminum,Aluminum,硅,矽,Silicon,Silicon,Silicon,Silicon,Silicon,1,
294,3,50,369,【常识】声音在哪种介质中传播最快？,【常識】聲音在哪種介質中傳播最快？,[Common sense] In which medium does sound travel the fastest?,,,,,海水中,海水中,In sea water,In sea water,In sea water,In sea water,In sea water,蒸馏水,蒸餾水,Distilled water,Distilled water,Distilled water,Distilled water,Distilled water,煤油,煤油,kerosene,kerosene,kerosene,kerosene,kerosene,软木,軟木,cork,cork,cork,cork,cork,1,
295,3,50,370,【常识】美国自由女神像是哪国雕塑家的作品？,【常識】美國自由女神像是哪國雕塑家的作品？,[Common Sense] Which country is the author of the Statue of Liberty?,,,,,法国,法國,France,France,France,France,France,美国,美國,United States,United States,United States,United States,United States,英国,英國,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,德国,德國,Germany,Germany,Germany,Germany,Germany,1,
296,3,50,371,【常识】哪项运动被誉为“体育运动之母”？,【常識】哪項運動被譽為“體育運動之母”？,[Common Sense] Which sport is known as the "mother of sports"?,,,,,田径,田徑,track and field,track and field,track and field,track and field,track and field,游泳,遊泳,Swim,Swim,Swim,Swim,Swim,摔跤,摔跤,Wrestling,Wrestling,Wrestling,Wrestling,Wrestling,举中,舉中,Weight lifting,Weight lifting,Weight lifting,Weight lifting,Weight lifting,1,
297,1,50,372,下列哪只宝可梦不是“道之三龙”？,下列哪只寶可夢不是“道之三龍”？,Which of the following Pokémon is not the "Tao trio"?,,,,,科斯莫姆,科斯莫姆,Cosmoem,Cosmoem,Cosmoem,Cosmoem,Cosmoem,莱希拉姆,萊希拉姆,Reshiram,Reshiram,Reshiram,Reshiram,Reshiram,捷克罗姆,捷克羅姆,Zekrom,Zekrom,Zekrom,Zekrom,Zekrom,酋雷姆,酋雷姆,Kyurem,Kyurem,Kyurem,Kyurem,Kyurem,1,
