变量名,_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,sender_pt,sender_th,subject,subject_tw,subject_en,subject_vn,subject_kr,subject_pt,subject_th,content,content_tw,content_en,content_vn,content_kr,content_pt,content_th,attachs,special
87,部屋大作战决赛竞猜奖励邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Room Battle Finals Guessing Reward,部屋大作戰決賽競猜獎勵,Room Battle Finals Guessing Reward,Phần thưởng Dự đoán Vòng Chung kết Đại chiến Căn phòng,방 대작전 결승전 예측 보상,Recompensa da Aposta das Finais da Batalha de Quartos,รางวัลทายผลรอบชิงชนะเลิศสงครามห้อง,"Dear partner:\n    You have successfully guessed %s outcomes in the Room Battle Finals Guessing. The settlement rewards have been sent via mail, please claim them in time.\n    Happy gaming!",親愛的小夥伴:\n    您在部屋大作戰決賽競猜中，競猜成功了%s個，結算獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear partner:\n    You have successfully guessed %s outcomes in the Room Battle Finals Guessing. The settlement rewards have been sent via mail, please claim them in time.\n    Happy gaming!","Bạn thân mến:\n    Bạn đã dự đoán thành công %s trận trong phần Dự đoán Chung kết của Đại chiến Căn phòng, phần thưởng tổng kết đã được gửi qua thư, vui lòng kiểm tra và nhận kịp thời.\n    Chúc bạn chơi game vui vẻ!","친애하는 파트너님:\n    방 대작전 결승전 예측에서 %s개를 맞추셨습니다. 정산 보상이 메일로 발송되었으니, 제때 확인해 주시기 바랍니다.\n    즐거운 게임 되세요!","Caro(a) parceiro(a):\n    Você acertou %s palpites na Aposta das Finais da Batalha de Quartos. As recompensas de acerto foram enviadas por correio, por favor, resgate-as a tempo.\n    Bom jogo!",ถึงเพื่อนรัก:\n    คุณทายผลในรอบชิงชนะเลิศของสงครามห้องถูกต้อง %s รายการ รางวัลสรุปผลได้ถูกส่งไปทางจดหมายแล้ว โปรดตรวจสอบและรับให้ทันเวลา\n    ขอให้สนุกกับเกม!,,
88,部屋大作战初赛竞猜奖励邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Room Battle Preliminary Guessing Failure Reward,部屋大作戰初賽競猜失敗獎勵,Room Battle Preliminary Guessing Failure Reward,Phần thưởng an ủi Dự đoán Vòng loại Đại chiến Căn phòng,방 대작전 예선전 예측 실패 보상,Recompensa de Consolação da Aposta das Preliminares,รางวัลปลอบใจการทายผลรอบคัดเลือกสงครามห้อง,"Dear partner:\n    You did not guess correctly in the Room Battle Preliminary Guessing. Below is the consolation prize. Please keep up the good work. The settlement rewards have been sent via mail, please claim them in time.\n    Happy gaming!",親愛的小夥伴:\n    您在部屋大作戰初賽競猜中沒有競猜正確，以下是安慰獎，請再接再厲，結算獎勵已隨郵件發送，請及时查收。\n    祝您遊戲愉快!,"Dear partner:\n    You did not guess correctly in the Room Battle Preliminary Guessing. Below is the consolation prize. Please keep up the good work. The settlement rewards have been sent via mail, please claim them in time.\n    Happy gaming!","Bạn thân mến:\n    Bạn đã không dự đoán đúng trong phần Dự đoán Vòng loại của Đại chiến Căn phòng, sau đây là phần thưởng an ủi, hãy cố gắng hơn nữa. Phần thưởng tổng kết đã được gửi qua thư, vui lòng kiểm tra và nhận kịp thời.\n    Chúc bạn chơi game vui vẻ!","친애하는 파트너님:\n    방 대작전 예선전 예측에서 맞추지 못하셨습니다. 다음은 위로상입니다. 계속 노력해 주세요. 정산 보상이 메일로 발송되었으니, 제때 확인해 주시기 바랍니다.\n    즐거운 게임 되세요!","Caro(a) parceiro(a):\n    Você não acertou na Aposta das Preliminares da Batalha de Quartos. Abaixo está o prêmio de consolação. Por favor, continue se esforçando. As recompensas de acerto foram enviadas por correio, por favor, resgate-as a tempo.\n    Bom jogo!",ถึงเพื่อนรัก:\n    คุณทายผลในรอบคัดเลือกของสงครามห้องไม่ถูกต้อง ด้านล่างนี้คือรางวัลปลอบใจ โปรดพยายามต่อไป รางวัลสรุปผลได้ถูกส่งไปทางจดหมายแล้ว โปรดตรวจสอบและรับให้ทันเวลา\n    ขอให้สนุกกับเกม!,,
89,部屋大作战决赛竞猜奖励邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Room Battle Finals Guessing Failure Reward,部屋大作戰決賽競猜失敗獎勵,Room Battle Finals Guessing Failure Reward,Phần thưởng an ủi Dự đoán Vòng Chung kết Đại chiến Căn phòng,방 대작전 결승전 예측 실패 보상,Recompensa de Consolação da Aposta das Finais,รางวัลปลอบใจการทายผลรอบชิงชนะเลิศสงครามห้อง,"Dear partner:\n    You did not guess correctly in the Room Battle Finals Guessing. Below is the consolation prize. Please keep up the good work. The settlement rewards have been sent via mail, please claim them in time.\n    Happy gaming!",親愛的小夥伴:\n    您在部屋大作戰決賽競猜中沒有競猜正確，以下是安慰獎，請再接再厲，結算獎勵已隨郵件發送，請及时查收。\n    祝您遊戲愉快!,"Dear partner:\n    You did not guess correctly in the Room Battle Finals Guessing. Below is the consolation prize. Please keep up the good work. The settlement rewards have been sent via mail, please claim them in time.\n    Happy gaming!","Bạn thân mến:\n    Bạn đã không dự đoán đúng trong phần Dự đoán Chung kết của Đại chiến Căn phòng, sau đây là phần thưởng an ủi, hãy cố gắng hơn nữa. Phần thưởng tổng kết đã được gửi qua thư, vui lòng kiểm tra và nhận kịp thời.\n    Chúc bạn chơi game vui vẻ!","친애하는 파트너님:\n    방 대작전 결승전 예측에서 맞추지 못하셨습니다. 다음은 위로상입니다. 계속 노력해 주세요. 정산 보상이 메일로 발송되었으니, 제때 확인해 주시기 바랍니다.\n    즐거운 게임 되세요!","Caro(a) parceiro(a):\n    Você não acertou na Aposta das Finais da Batalha de Quartos. Abaixo está o prêmio de consolação. Por favor, continue se esforçando. As recompensas de acerto foram enviadas por correio, por favor, resgate-as a tempo.\n    Bom jogo!",ถึงเพื่อนรัก:\n    คุณทายผลในรอบชิงชนะเลิศของสงครามห้องไม่ถูกต้อง ด้านล่างนี้คือรางวัลปลอบใจ โปรดพยายามต่อไป รางวัลสรุปผลได้ถูกส่งไปทางจดหมายแล้ว โปรดตรวจสอบและรับให้ทันเวลา\n    ขอให้สนุกกับเกม!,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
101,遗失精灵邮件,2,,Pokémon Center,精靈中心,Pokémon Center,Pokémon Center,포켓몬 센터,Pokémon Center,ศูนย์โปเกมอน,Lost Pokémon Mail,遺失精靈郵件,Lost Pokémon Mail,Thư Pokémon bị mất,사라진 포켓몬 우편,Correio de Pokémon Perdido,จดหมายโปเกมอนที่หายไป,"Dear trainer:\n    We found a few missing Pokémons, please bring them home soon! \n    All the best for your adventure!",親愛的訓練家:\n    在精靈中心發現了幾隻迷路的小傢伙，請您及時領回~\n    祝您冒險愉快!,"Dear trainer:\n    We found a few missing Pokémons, please bring them home soon! \n    All the best for your adventure!","Nhà huấn luyện thân mến:\n    Chúng tôi đã tìm thấy một vài Pokémon bị thất lạc, hãy nhanh chóng đưa chúng về nhà nhé! \n    Chúc bạn mọi điều tốt đẹp nhất trong cuộc phiêu lưu của mình!","안녕하세요,트레이너님: \n포켓몬센터에서 길 잃은 꼬마 몇 마리를 발견하였습니다.트레이너님의 \n      모험을 즐기시기를 바랍니다.","Caro(a) Treinador(a):\n    Encontramos alguns Pokémons perdidos, por favor, leve-os para casa em breve! \n    Tudo de bom para a sua aventura!",ถึงเทรนเนอร์:\n    เราพบโปเกมอนที่หายไปสองสามตัว โปรดพากลับบ้านเร็วๆ นี้! \n    ขอให้โชคดีกับการผจญภัยของคุณ!,,
102,精灵月卡邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Monthly subscription unclaimed rewards notice,精靈月卡通知,Monthly subscription unclaimed rewards notice,Thông báo phần thưởng đăng ký tháng chưa nhận,포켓몬 월간카드 알림,Aviso de recompensas não resgatadas da assinatura mensal,แจ้งเตือนรางวัลที่ยังไม่ได้รับจากการสมัครสมาชิกรายเดือน,"Dear trainer: \n    As you've not claimed the Monthly Subscription  daily rewards given on the day before, please check the rewards that have been sent via mail. n    Happy gaming!",親愛的訓練家:\n    這是今日的精靈月卡每日獎勵，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainer: \n    As you've not claimed the Monthly Subscription  daily rewards given on the day before, please check the rewards that have been sent via mail. n    Happy gaming!","Nhà huấn luyện thân mến: \n    Vì bạn chưa nhận phần thưởng hàng ngày của Gói Đăng ký Tháng được trao vào ngày hôm trước, vui lòng kiểm tra phần thưởng đã được gửi qua thư. \n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   오늘의 포켓몬 월간카드 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a): \n    Como você não resgatou as recompensas diárias da Assinatura Mensal dadas no dia anterior, por favor, verifique as recompensas que foram enviadas por correio. \n    Bom jogo!",ถึงเทรนเนอร์: \n    เนื่องจากคุณยังไม่ได้รับรางวัลรายวันของแพ็คเกจรายเดือนที่มอบให้เมื่อวันก่อน โปรดตรวจสอบรางวัลที่ถูกส่งไปทางจดหมาย \n    ขอให้สนุกกับการเล่นเกม!,,
103,大师月卡邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Extreme Month Card Replacement notice,大師月卡通知,Extreme Month Card Replacement notice,Thông báo Thay thế Thẻ Tháng Cực Hạn,마스터 월간카드 알림,Aviso de Substituição do Cartão Mensal Extremo,ประกาศการเปลี่ยนบัตรเดือนขั้นสุด,"Dear trainer: \n    As you've not claimed the Supreme Monthly Subscription daily rewards given on the day before, please check the rewards that have been sent via mail.  n    Happy gaming!",親愛的訓練家:\n   這是今日的大師月卡每日獎勵，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainer: \n    As you've not claimed the Supreme Monthly Subscription daily rewards given on the day before, please check the rewards that have been sent via mail.  n    Happy gaming!","Nhà huấn luyện thân mến: \n    Vì bạn chưa nhận phần thưởng hàng ngày của Gói Đăng ký Tháng Tối cao được trao vào ngày hôm trước, vui lòng kiểm tra phần thưởng đã được gửi qua thư.  \n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   오늘의 포켓몬 마스터 월간카드 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a): \n    Como você não resgatou as recompensas diárias da Assinatura Mensal Suprema dadas no dia anterior, por favor, verifique as recompensas que foram enviadas por correio.  \n    Bom jogo!",ถึงเทรนเนอร์: \n    เนื่องจากคุณยังไม่ได้รับรางวัลรายวันของแพ็คเกจรายเดือนขั้นสูงสุดที่มอบให้เมื่อวันก่อน โปรดตรวจสอบรางวัลที่ถูกส่งไปทางจดหมาย  \n    ขอให้สนุกกับการเล่นเกม!,,
104,运营活动奖励补发邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,%s rewards return,%s獎勵補發,%s rewards return,%s Hoàn trả phần thưởng,%s 보상 지급,%s Devolução de recompensas de,%s การคืนรางวัล,"Dear trainer:\n    Since you have not claimed the rewards completed during the event, we're reissuing the rewards to you. Please check and claim the following rewards.\n    Happy gaming!",親愛的訓練家:\n    由於您在活動時間內未領取已完成的目標獎勵，特此進行郵件補發獎勵，以下為您未領取的活動獎勵，請及時查收。\n    祝您遊戲愉快!,"Dear trainer:\n    Since you have not claimed the rewards completed during the event, we're reissuing the rewards to you. Please check and claim the following rewards.\n    Happy gaming!","Nhà huấn luyện thân mến:\n    Vì bạn chưa nhận phần thưởng đã hoàn thành trong sự kiện, chúng tôi sẽ cấp lại phần thưởng cho bạn. Vui lòng kiểm tra và nhận các phần thưởng sau đây.\n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   이벤트 기간 중 수령하지 않은 목표 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a):\n    Como você não resgatou as recompensas concluídas durante o evento, estamos reemitindo as recompensas para você. Por favor, verifique e resgate as seguintes recompensas.\n    Bom jogo!",ถึงเทรนเนอร์:\n    เนื่องจากคุณยังไม่ได้รับรางวัลที่ทำสำเร็จในช่วงกิจกรรม เราจึงขอมอบรางวัลให้คุณอีกครั้ง โปรดตรวจสอบและรับรางวัลต่อไปนี้\n    ขอให้สนุกกับการเล่นเกม!,,
105,同意入会申请,1,,Alliance Human Resource Center,聯盟人事中心,Alliance Human Resource Center,Alliance Human Resource Center,연맹 인사본부,Alliance Human Resource Center,ศูนย์บุคคลากรสมาคม,Your union request has been processed,您的入會申請已受理,Your union request has been processed,Yêu cầu gia nhập bang hội của bạn đã được xử lý,가입 신청 처리 완료,Sua solicitação de guilda foi processada,คำขอเข้าร่วมกิลด์ของคุณได้รับการดำเนินการแล้ว,Dear trainer:\n  %s has approved your request to join the union. Time to say hello to your union members!,親愛的訓練家:\n  %s通過了您的入會申請，快到公會和大家打個招呼吧。,Dear trainer:\n  %s has approved your request to join the union. Time to say hello to your union members!,Nhà huấn luyện thân mến:\n  %s đã chấp thuận yêu cầu tham gia bang hội của bạn. Đã đến lúc chào hỏi các thành viên trong bang hội của bạn!,트레이너님: \n   %s 님이 길드 가입 신청을 승인했습니다. 어서 길드원들과 인사를 나누세요.,Caro(a) Treinador(a):\n  %s aprovou seu pedido para entrar na guilda. Hora de dizer olá aos membros da sua guilda!,ถึงเทรนเนอร์:\n  %s ได้อนุมัติคำขอเข้าร่วมกิลด์ของคุณแล้ว ถึงเวลาทักทายสมาชิกกิลด์ของคุณ!,,
106,新手欢迎邮件,2,,Pokémon Alliance,精靈聯盟,Pokémon Alliance,Tinh linh liên minh,포켓몬 연맹,Pokémon Alliance,สมาคมโปเกมอน,Welcome to the Pokémon World,歡迎您來到口袋精靈世界,Welcome to the Pokémon World,Chào mừng đến với Thế giới Pokémon,포켓몬 세계에 오신 것을 환영합니다,Bem-vindo ao Mundo Pokémon,ยินดีต้อนรับสู่โลกโปเกมอน,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!",親愛的小夥伴:\n    歡迎您加入神秘有趣的口袋精靈世界，這是一點小禮物，希望能在今後的旅途中幫助到你。\n    祝您遊戲愉快!,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!","Nhà huấn luyện thân mến:\n    Chào mừng bạn đến với Thế giới Pokémon bí ẩn và thú vị này. Đây là một món quà nhỏ dành cho bạn, hy vọng rằng nó có thể giúp bạn trong cuộc phiêu lưu tương lai.\n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   신비한 포켓몬 세계에 오신 것을 환영합니다. 환영의 뜻으로 작은 선물을 준비했습니다. 부디 앞으로의 여정에 도움이 되길 바랍니다. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a):\n    Bem-vindo a este misterioso e interessante Mundo Pokémon. Esta é uma pequena lembrança para você, esperamos que isso possa ajudá-lo em sua futura aventura.\n    Bom jogo!",ถึงเทรนเนอร์:\n    ยินดีต้อนรับสู่โลกโปเกมอนที่ลึกลับและน่าสนใจนี้ นี่คือของขวัญเล็กๆ น้อยๆ สำหรับคุณ หวังว่ามันจะช่วยคุณในการผจญภัยในอนาคต\n    ขอให้สนุกกับการเล่นเกม!,{rmb=500;gold=20000;11=50},
107,奖励邮件,2,,Pokémon Alliance,精靈聯盟,Pokémon Alliance,Tinh linh liên minh,포켓몬 연맹,Pokémon Alliance,สมาคมโปเกมอน,Rewards mail,獎勵郵件,Rewards mail,Thư phần thưởng,보상 우편,Correio de Recompensas,จดหมายรางวัล,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!",親愛的小夥伴:\n    歡迎您加入神秘有趣的口袋精靈世界，這是一點小禮物，希望能在今後的旅途中幫助到你。\n    祝您遊戲愉快!,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!","Nhà huấn luyện thân mến:\n    Chào mừng bạn đến với Thế giới Pokémon bí ẩn và thú vị này. Đây là một món quà nhỏ dành cho bạn, hy vọng rằng nó có thể giúp bạn trong cuộc phiêu lưu tương lai.\n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   신비한 포켓몬 세계에 오신 것을 환영합니다. 환영의 뜻으로 작은 선물을 준비했습니다. 부디 앞으로의 여정에 도움이 되길 바랍니다. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a):\n    Bem-vindo a este misterioso e interessante Mundo Pokémon. Esta é uma pequena lembrança para você, esperamos que isso possa ajudá-lo em sua futura aventura.\n    Bom jogo!",ถึงเทรนเนอร์:\n    ยินดีต้อนรับสู่โลกโปเกมอนที่ลึกลับและน่าสนใจนี้ นี่คือของขวัญเล็กๆ น้อยๆ สำหรับคุณ หวังว่ามันจะช่วยคุณในการผจญภัยในอนาคต\n    ขอให้สนุกกับการเล่นเกม!,{gold=10},
108,公会碎片赠予邮件,2,,League Wishing Office,聯盟星願辦,League Wishing Office,Ngôi Sao Liên Minh,연맹 소원 센터,League Wishing Office,สำนักงานพรแห่งดวงดาวสมาคม,Someone helpful has fulfilled your wish,有熱心人幫您實現願望了,Someone helpful has fulfilled your wish,Một người tốt bụng đã thực hiện điều ước của bạn,마음씨 좋은 누군가가 소원을 들어 주었습니다,Alguém prestativo realizou seu desejo,มีคนใจดีช่วยทำให้คำอธิษฐานของคุณเป็นจริงแล้ว,"Someone %s helping has gifted you a shard, do remember to accept it!",有熱心人%s贈送了您一個碎片哦，請注意查收~,"Someone %s helping has gifted you a shard, do remember to accept it!","Một người %s tốt bụng đã tặng bạn một mảnh vỡ, hãy nhớ nhận nó nhé!",동료%s조각 하나를 보내드렸으니  받아주시기 바랍니다.,"Alguém %s prestativo lhe presenteou com um fragmento, lembre-se de aceitá-lo!",มีคนใจดี %s มอบชิ้นส่วนให้คุณ อย่าลืมกดยอมรับ!,,
109,实名注册奖励邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Identity Autentication Reward Mail,實名註冊獎勵郵件,Identity Autentication Reward Mail,Thư Phần thưởng Xác thực Danh tính,실명 인증 보상 우편,Correio de Recompensa por Autenticação de Identidade,จดหมายรางวัลการยืนยันตัวตน,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!",親愛的小夥伴:\n    歡迎您加入神秘有趣的口袋精靈世界，這是一點小禮物，希望能在今後的旅途中幫助到你。\n    祝您遊戲愉快!,"Dear trainer:\n    Welcome to this mysterious and interesting Pokémon World. This is a small token for you, hope that this can help you in your future adventure.\n    Happy gaming!","Nhà huấn luyện thân mến:\n    Chào mừng bạn đến với Thế giới Pokémon bí ẩn và thú vị này. Đây là một món quà nhỏ dành cho bạn, hy vọng rằng nó có thể giúp bạn trong cuộc phiêu lưu tương lai.\n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   신비한 포켓몬 세계에 오신 것을 환영합니다. 환영의 뜻으로 작은 선물을 준비했습니다. 부디 앞으로의 여정에 도움이 되길 바랍니다. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a):\n    Bem-vindo a este misterioso e interessante Mundo Pokémon. Esta é uma pequena lembrança para você, esperamos que isso possa ajudá-lo em sua futura aventura.\n    Bom jogo!",ถึงเทรนเนอร์:\n    ยินดีต้อนรับสู่โลกโปเกมอนที่ลึกลับและน่าสนใจนี้ นี่คือของขวัญเล็กๆ น้อยๆ สำหรับคุณ หวังว่ามันจะช่วยคุณในการผจญภัยในอนาคต\n    ขอให้สนุกกับการเล่นเกม!,{gold=500000;rmb=150},
110,对战竞技场周结算有奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,PvP Arena Weekly Settlement,對戰競技場周結算,PvP Arena Weekly Settlement,Tổng kết hàng tuần Đấu trường PvP,대전 아레나 주간 결산,Acerto Semanal da Arena PvP,สรุปผลอารีน่า PvP รายสัปดาห์,Dear Player: \n    Congrats! You reached %d points in two modes at weekly settlement. Here are your rewards. Keep trying!,親愛的小夥伴:\n    恭喜你在周結算時2個模式中積分最高的達到了%d分，以下是發放給你的周結算獎勵，再接再厲呀！,Dear Player: \n    Congrats! You reached %d points in two modes at weekly settlement. Here are your rewards. Keep trying!,Người chơi thân mến: \n    Chúc mừng! Bạn đã đạt được %d điểm trong hai chế độ tại kỳ tổng kết hàng tuần. Đây là phần thưởng của bạn. Hãy tiếp tục cố gắng!,"친구에게: \n    축하합니다. 주간 결산의 2개의 모드에서 최고 포인트 %d점을 달성하였으며, 주간 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요.",Caro Jogador: \n    Parabéns! Você alcançou %d pontos em dois modos no acerto semanal. Aqui estão suas recompensas. Continue tentando!,ถึงผู้เล่น: \n    ยินดีด้วย! คุณทำได้ %d คะแนนในสองโหมดในการสรุปผลรายสัปดาห์ นี่คือรางวัลของคุณ พยายามต่อไป!,,
111,对战竞技场周结算无奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,PvP Arena Weekly Settlement,對戰競技場周結算,PvP Arena Weekly Settlement,Tổng kết hàng tuần Đấu trường PvP,대전 아레나 주간 결산,Acerto Semanal da Arena PvP,สรุปผลอารีน่า PvP รายสัปดาห์,Dear Player: \n    You reached %d points in two modes but your participated battles are less than %d this week. You cannot claim any reward. Please join actively next week!,親愛的小夥伴:\n    雖然你在本次周結算中2個模式中積分最高達到%d分，但由於本周你沒有達到至少參與%d場戰鬥（不論模式）的條件，所以與本周獎勵失之交臂，下周可記得千萬要積極來參加比賽呀！,Dear Player: \n    You reached %d points in two modes but your participated battles are less than %d this week. You cannot claim any reward. Please join actively next week!,Người chơi thân mến: \n    Bạn đã đạt được %d điểm trong hai chế độ nhưng số trận tham gia của bạn trong tuần này ít hơn %d. Bạn không thể nhận bất kỳ phần thưởng nào. Vui lòng tham gia tích cực vào tuần tới!,친구에게: \n    비록 귀하는 이번 주간 결산의 2개의 모드에서 최고 포인트 %d점을 달성하였으나 이번 주에 최소 %d 회 전투 참여(모드 무관)를 달성하지 못해 이번 주 보상을 얻지 못했습니다. 다음 주에는 적극적으로 대회에 참여해 주세요!,"Caro Jogador: \n    Você alcançou %d pontos em dois modos, mas suas batalhas participadas são menos de %d esta semana. Você não pode resgatar nenhuma recompensa. Por favor, participe ativamente na próxima semana!",ถึงผู้เล่น: \n    คุณทำได้ %d คะแนนในสองโหมด แต่จำนวนการต่อสู้ที่คุณเข้าร่วมน้อยกว่า %d ครั้งในสัปดาห์นี้ คุณไม่สามารถรับรางวัลใดๆ ได้ โปรดเข้าร่วมอย่างแข็งขันในสัปดาห์หน้า!,,
112,对战竞技场赛季结算,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,PvP Arena Seasonal Settlement,對戰競技場賽季結算,PvP Arena Seasonal Settlement,Tổng kết theo mùa Đấu trường PvP,대전 아레나 시즌 결산,Acerto de Temporada da Arena PvP,สรุปผลอารีน่า PvP ตามฤดูกาล,Dear Player: \n    This season is ended! Congrats! You won No.%d at seasonal settlement. Here are your rewards. Keep trying and see you next season!,親愛的小夥伴:\n    本次賽季圓滿結束啦！恭喜你在賽季結算時2個模式中排名最高達到%d名，以下是發放給你的賽季結算獎勵，繼續變強，我們下賽季見！,Dear Player: \n    This season is ended! Congrats! You won No.%d at seasonal settlement. Here are your rewards. Keep trying and see you next season!,Người chơi thân mến: \n    Mùa giải này đã kết thúc! Chúc mừng! Bạn đã giành được vị trí %d tại kỳ tổng kết theo mùa. Đây là phần thưởng của bạn. Hãy tiếp tục cố gắng và hẹn gặp lại bạn vào mùa giải tới!,"친구에게: \n    이번 시즌이 종료됐습니다! 축하합니다. 귀하는 시즌 결산의 2개의 모드에서 최고 순위 %d위를 달성했습니다. 아래에 시즌 결산 보상을 드리오니, 더욱 강해져서 다음 시즌에 다시 만나요!",Caro Jogador: \n    Esta temporada terminou! Parabéns! Você ganhou o Nº %d no acerto de temporada. Aqui estão suas recompensas. Continue tentando e nos vemos na próxima temporada!,ถึงผู้เล่น: \n    ฤดูกาลนี้สิ้นสุดลงแล้ว! ยินดีด้วย! คุณได้รับอันดับที่ %d ในการสรุปผลตามฤดูกาล นี่คือรางวัลของคุณ พยายามต่อไป แล้วพบกันใหม่ฤดูกาลหน้า!,,
