变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr,fmt_pt,fmt_th
,,,,,,,
,,,,,,,
,,,,,,,
124601,1.穿着芯片可以增加精灵的战斗能力,1.穿著芯片可以增加精靈的戰鬥能力,1. Wearing chips can increase CP of Pokémon,,,1. Usar chips pode aumentar o CP dos Pokémon,1. การสวมชิปสามารถเพิ่ม CP ของโปเกมอนได้
124602,2.每个芯片拥有1~2条固定属性和若干条随机属性,2.每個芯片擁有1~2條固定屬性和若幹條隨機屬性,2. Each chip has 1 to 2 fixed attributes and several random attributes,,,2. Cada chip tem de 1 a 2 atributos fixos e vários atributos aleatórios,2. ชิปแต่ละตัวจะมีคุณลักษณะคงที่ 1 ถึง 2 คุณลักษณะและคุณลักษณะสุ่มหลายรายการ
124603,3.芯片有对应的套装属性，穿2/4件同一套装属性的芯片能够激活其对应的套装属性，芯片品质越高，套装属性越好,3.芯片有對應的套裝屬性，穿2/4件同一套裝屬性的芯片能夠激活其對應的套裝屬性，芯片品質越高，套裝屬性越好,"3. Chips have corresponding set attributes. Wearing 2/4 chips of same set attributes can activate their corresponding set attributes. The higher the chip quality, the better the set attributes.",,,"3. Os chips têm atributos de conjunto correspondentes. Usar 2/4 chips dos mesmos atributos de conjunto pode ativar seus atributos de conjunto correspondentes. Quanto maior a qualidade do chip, melhores os atributos de conjunto.",3. ชิปมีคุณสมบัติชุดที่สอดคล้องกัน การสวมชิป 2/4 ชิ้นที่มีคุณลักษณะชุดเดียวกันสามารถเปิดใช้งานคุณลักษณะชุดที่สอดคล้องกันได้ ยิ่งชิปมีคุณภาพสูงขึ้น คุณลักษณะชุดก็จะดีขึ้น
124604,4.每个芯片只能装配到其指定的位置中,4.每個芯片只能裝配到其指定的位置中,4. Each chip can only be assembled in its designated position,,,4. Cada chip só pode ser montado na posição designada,4. ชิปแต่ละตัวสามารถประกอบได้ในตำแหน่งที่กำหนดไว้เท่านั้น
124605,5.芯片位置说明:,5.芯片位置說明:,5. Chip slot description:,,,5. Descrição do slot do chip:,5. คำอธิบายช่องชิป:
124606,位置,位置,Position,,,Posição,ตำแหน่ง
124607,固定属性,固定屬性,Fixed attributes,,,Atributos fixos,คุณสมบัติคงที่
124608,随机属性,隨機屬性,Random attribute,,,Atributo aleatório,คุณสมบัติแบบสุ่ม
124609,生命,生命,HP,,,HP,เอชพี
124610,生命、双防、暴击抗性、治疗效果、抵御、免疫控制率、伤害减免、必杀抗性,生命、雙防、暴擊抗性、治療效果、抵禦、免疫控制率、傷害減免、必殺抗性,"HP, P.&Sp.DEF, Crit Resistance, Heal Effect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance",,,"HP, P.&Sp.DEF, Resistência a Crítico, Efeito de Cura, Bloqueio, Taxa de Controle Imunológico, Redução de Dano, Resistência à Habilidade Suprema","HP, P&Sp.DEF, ความต้านทานคริติคอล, เอฟเฟกต์การรักษา, การบล็อค, อัตราการควบคุมภูมิคุ้มกัน, การลดความเสียหาย, ความต้านทานทักษะขั้นสูงสุด"
124611,双攻,雙攻,P.&Sp. ATK,,,P.&Esp. ATAQUE,ป.&ป.เอทีเค
124612,速度、双攻、双防忽视、暴击、暴击伤害、破抵御、控制率、伤害加成、必杀加成,速度、雙攻、雙防忽視、暴擊、暴擊傷害、破抵禦、控制率、傷害加成、必殺加成,"Speed, P.&Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Block Break, Control Rate, Damage Bonus, Ultimate Skill Bonus",,,"Velocidade, P.&Sp. ATK, P. & Sp. DEF Ignorância, Crítico, Dano Crítico, Quebra de Bloqueio, Taxa de Controle, Bônus de Dano, Bônus de Habilidade Suprema","ความเร็ว, พลังโจมตี & ความเร็ว, พลังป้องกัน & ความเร็ว ความไม่รู้, คริติคอล, ความเสียหายคริติคอล, การทำลายบล็อค, อัตราการควบคุม, โบนัสความเสียหาย, โบนัสทักษะขั้นสูง"
124613,双防,雙防,P. & Sp. DEF,,,P. & Sp. DEF,พี.แอนด์ส.ดีเอฟ
124614,生命、双防、暴击抗性、治疗效果、反弹、抵御、免疫控制率、伤害减免、必杀抗性 ,生命、雙防、暴擊抗性、治療效果、反彈、抵禦、免疫控制率、傷害減免、必殺抗性 ,"HP, P. & Sp. DEF, Crit Resistance, Heal Effect, Reflect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance ",,,"HP, P. & Sp. DEF, Resistência Crítica, Efeito de Cura, Reflexão, Bloqueio, Taxa de Controle Imunológico, Redução de Dano, Resistência à Habilidade Suprema","HP, P. & Sp. DEF, ความต้านทานคริติคอล, เอฟเฟกต์การรักษา, การสะท้อน, การบล็อค, อัตราการควบคุมภูมิคุ้มกัน, การลดความเสียหาย, ความต้านทานทักษะขั้นสูงสุด"
124615,生命、双攻,生命、雙攻,"HP, P.&Sp. ATK",,,"HP, P.&Esp. ATK","เอชพี, พี.แอนด์ส.เอทีเค"
124616,速度、怒气回复速度、双攻、双防忽视、暴击、暴击伤害、破抵御、控制率、伤害加成、必杀加成,速度、怒氣回複速度、雙攻、雙防忽視、暴擊、暴擊傷害、破抵禦、控制率、傷害加成、必殺加成,"Speed, Anger Recovery Speed, P. & Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Block Break, Control Rate, Damage Bonus, Ultimate Skill Bonus",,,"Velocidade, Velocidade de Recuperação de Raiva, P. & Sp. ATK, P. & Sp. DEF Ignorância, Crítico, Dano Crítico, Quebra de Bloqueio, Taxa de Controle, Bônus de Dano, Bônus de Habilidade Suprema","ความเร็ว, ความเร็วในการฟื้นฟูความโกรธ, พลังโจมตี & ความเร็ว, พลังป้องกัน & ความเร็ว ความไม่รู้, คริติคอล, ความเสียหายคริติคอล, การทำลายบล็อค, อัตราการควบคุม, โบนัสความเสียหาย, โบนัสทักษะขั้นสูง"
124617,双防,雙防,P. & Sp. DEF,,,P. & Sp. DEF,พี.แอนด์ส.ดีเอฟ
124618,生命、双防、暴击抗性、治疗效果、反弹、抵御、免疫控制率、伤害减免、必杀抗性 ,生命、雙防、暴擊抗性、治療效果、反彈、抵禦、免疫控制率、傷害減免、必殺抗性 ,"HP, P. & Sp. DEF, Crit Resistance, Heal Effect, Reflect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance ",,,"HP, P. & Sp. DEF, Resistência Crítica, Efeito de Cura, Reflexão, Bloqueio, Taxa de Controle Imunológico, Redução de Dano, Resistência à Habilidade Suprema","HP, P. & Sp. DEF, ความต้านทานคริติคอล, เอฟเฟกต์การรักษา, การสะท้อน, การบล็อค, อัตราการควบคุมภูมิคุ้มกัน, การลดความเสียหาย, ความต้านทานทักษะขั้นสูงสุด"
124619,生命、双攻,生命、雙攻,"HP, P.&Sp. ATK",,,"HP, P.&Esp. ATK","เอชพี, พี.แอนด์ส.เอทีเค"
124620,怒气回复速度、双攻、双防忽视、暴击、暴击伤害、吸血、破抵御、伤害加成、必杀加成,怒氣回複速度、雙攻、雙防忽視、暴擊、暴擊傷害、吸血、破抵禦、傷害加成、必殺加成,"Anger Recovery Speed, P. & Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Lifesteal, Block Break, Damage Bonus, Ultimate Skill Bonus",,,"Velocidade de Recuperação de Raiva, P. & Sp. ATK, P. & Sp. DEF Ignorância, Crítico, Dano Crítico, Roubo de Vida, Quebra de Bloqueio, Bônus de Dano, Bônus de Habilidade Suprema","ความเร็วการฟื้นตัวจากความโกรธ, พลังโจมตีพิเศษ & พลังป้องกันพิเศษ, ความไม่รู้, คริติคอล, ความเสียหายคริติคอล, การดูดเลือด, การทำลายบล็อค, โบนัสความเสียหาย, โบนัสทักษะขั้นสูง"
,,,,,,,
124701,1.强化可以提升芯片等级，等级越高主属性越高,1.強化可以提升芯片等級，等級越高主屬性越高,"1. Enhancement can improve chip level, the higher the level, the higher the main attribute",,,"1. O aprimoramento pode melhorar o nível do chip, quanto maior o nível, maior o atributo principal",1. การปรับปรุงสามารถปรับปรุงระดับชิป ยิ่งระดับสูงขึ้น คุณสมบัติหลักก็จะยิ่งสูงขึ้น
124702,2.强化需要消耗金币，其他的芯片或者专属强化材料,2.強化需要消耗金幣，其他的芯片或者專屬強化材料,"2. Enhancement needs to consume coins, other chips or exclusive enhancement materials",,,"2. O aprimoramento precisa consumir moedas, outros chips ou materiais de aprimoramento exclusivos",2. การปรับปรุงต้องใช้เหรียญ ชิปอื่นๆ หรือวัสดุปรับปรุงพิเศษ
124703,3. 使用超过1级的芯片作为强化材料时，强化成功后，作为材料的芯片强化所消耗的金币会返还,3. 使用超過1級的芯片作爲強化材料時，強化成功後，作爲材料的芯片強化所消耗的金幣會返還,"3. When using chips above Lv.1 as a enhance material, after the enhancement succeed,  coins used for enhancement of the chip as the material will be returned",,,"3. Ao usar chips acima do nível 1 como material de aprimoramento, após o sucesso do aprimoramento,moedas usadas para aprimoramento do chip, pois o material será devolvido",3. เมื่อใช้ชิปที่สูงกว่า Lv.1 เป็นวัสดุเสริมประสิทธิภาพ หลังจากเสริมประสิทธิภาพสำเร็จแล้วเหรียญที่ใช้สำหรับเพิ่มประสิทธิภาพของชิปเป็นวัสดุที่ส่งคืน
124704,4.提升等级还可以解锁新的随机属性和随机强化已经获得的随机属性，单条随机属性的强化次数有上限,4.提升等級還可以解鎖新的隨機屬性和隨機強化已經獲得的隨機屬性，單條隨機屬性的強化次數有上限,4. Upgrading level can also unlock new random attributes and enhance random attributes that have been obtained. Random attribute enhancement attempts is limited.,,,4. A atualização de nível também pode desbloquear novos atributos aleatórios e aprimorar atributos aleatórios que foram obtidos. Tentativas de aprimoramento de atributos aleatórios são limitadas.,4. การอัพเกรดระดับสามารถปลดล็อคคุณสมบัติสุ่มใหม่และเพิ่มคุณสมบัติสุ่มที่ได้รับได้ การพยายามเพิ่มคุณสมบัติสุ่มนั้นมีจำกัด
124705,5.芯片属性等级说明:,5.芯片屬性等級說明:,5.Chip attribute level description:,,,5. Descrição do nível de atributo do chip:,5.คำอธิบายระดับคุณลักษณะของชิป:
124706,#C0x5B545B#品质,#C0x5B545B#品質,#C0x5B545B#Quality,,,#C0x5B545B#Qualidade,#C0x5B545B#คุณภาพ
124707,属性解锁等级,屬性解鎖等級,Attribute unlock level,,,Nível de desbloqueio de atributo,ระดับการปลดล็อคคุณสมบัติ
124708,属性强化等级,屬性強化等級,Attribute enhancement level,,,Nível de aprimoramento de atributo,ระดับการเพิ่มคุณสมบัติ
,,,,,,,
124801,#L10##C0xF76B45#"炎炎夏日，用一份清凉的刨冰消除内心的聒噪",#L10##C0xF76B45#"炎炎夏日，用一份清涼的刨冰消除內心的聒噪","#L10##C0xF76B45# ""In the hot summer, use a cool water-ice to smooth your soul""",,#L10##C0xF76B45#"무더운 여름엔 시원한 빙수로 지친 마음을 달래주자","#L10##C0xF76B45# ""No verão quente, use água gelada para acalmar sua alma""",#L10##C0xF76B45# “ในฤดูร้อนที่ร้อนอบอ้าว ให้ใช้น้ำแข็งเย็นๆ เพื่อทำให้จิตใจของคุณสดชื่น”
124802,#L10##C0xF76B45#【活动规则】:,#L10##C0xF76B45#【活動規則】:,#L10##C0xF76B45#[Activity Rules]:,,#L10##C0xF76B45#[이벤트 규칙]:,#L10##C0xF76B45#[Regras da atividade]:,#L10##C0xF76B45#[กฎกิจกรรม]:
124803,1.活动开启后，训练家们会为宝可梦们制作刨冰，消除炎热,1.活動開啓後，訓練家們會爲寶可夢們制作刨冰，消除炎熱,"1. After the event starts, Trainers will make water-ice for Pokémon to eliminate the heat",,1. 이벤트가 오픈 후 트레이너들이 포켓몬들을 위해 빙수를 만들어 더위를 식힙니다.,"1. Após o início do evento, os treinadores farão gelo de água para os Pokémon eliminarem o calor",1. หลังจากที่กิจกรรมเริ่มขึ้น เทรนเนอร์จะทำน้ำแข็งให้โปเกมอนเพื่อคลายความร้อน
124804,2.宝可梦们在上场后会提出自己喜欢的刨冰口味，训练家们需要在进度条结束前记忆需求,2.寶可夢們在上場後會提出自己喜歡的刨冰口味，訓練家們需要在進度條結束前記憶需求,"2. Pokémon will propose their favorite flavors of water-ice after playing, and trainers need to remember their needs before the progress bar ends.",,2. 포켓몬들은 찾아오면 자신이 좋아하는 빙수 맛을 주문하고 트레이너들은 진도표가 끝나기 전에 주문 메뉴를 기억해야 합니다.,"2. Os Pokémon irão propor seus sabores favoritos de água e gelo depois de jogar, e os treinadores precisam lembrar de suas necessidades antes que a barra de progresso termine.",2. โปเกมอนจะเสนอรสชาติน้ำแข็งที่ชื่นชอบหลังจากเล่น และผู้ฝึกสอนต้องจำความต้องการเหล่านี้ก่อนที่แถบความคืบหน้าจะสิ้นสุด
124805,3.进度条结束后，精灵会隐藏起自己提出的需求，需要玩家凭记忆选出精灵提出的需求,3.進度條結束後，精靈會隱藏起自己提出的需求，需要玩家憑記憶選出精靈提出的需求,"3. After the progress bar is over, Pokémon will hide their own needs, and trainers needs to select the needs of Pokémons by memorize it",,3. 진도표가 끝난 후 포켓몬은 자신이 원하는 것을 숨기고 트레이너는 기억으로 주문 내용을 선택해야 합니다.,"3. Após a barra de progresso terminar, os Pokémon ocultarão suas próprias necessidades e os treinadores precisarão selecionar as necessidades dos Pokémon memorizando-as",3. เมื่อแถบความคืบหน้าสิ้นสุดลง โปเกมอนจะซ่อนความต้องการของตัวเอง และผู้ฝึกสอนจะต้องเลือกความต้องการของโปเกมอนโดยการจดจำไว้
124806,4.第一只精灵提出需求后，需要点击【开始制作】来开启冰箱，为精灵制作刨冰,4.第一只精靈提出需求後，需要點擊【開始制作】來開啓冰箱，爲精靈制作刨冰,"4. After the first Pokémon makes a request, you need to tap [Start Making] to open refrigerator and make water-ice for Pokémon",,4. 첫 번째 포켓몬이 주문 후 [만들기 시작]을 클릭하여 냉장고를 열고 빙수를 만듭니다.,"4. Depois que o primeiro Pokémon fizer um pedido, você precisa tocar em [Começar a fazer] para abrir a geladeira e fazer gelo de água para o Pokémon",4. หลังจากที่โปเกมอนตัวแรกส่งคำขอ คุณต้องแตะ [เริ่มทำ] เพื่อเปิดตู้เย็นและทำน้ำแข็งให้โปเกมอน
124807,5.选择完毕后，精灵会对训练家的选择做出服务评价，判定分三个等级,5.選擇完畢後，精靈會對訓練家的選擇做出服務評價，判定分三個等級,"5. After the selection is completed, Pokémon will make a service evaluation for the trainer's choice, and the judgment is divided into three levels",,5. 선택 완료 후 포켓몬은 트레이너의 선택에 대한 서비스 평가를 통해 3등급 판정을 진행합니다.,"5. Após a seleção ser concluída, o Pokémon fará uma avaliação de serviço para a escolha do treinador, e o julgamento será dividido em três níveis",5. หลังจากการเลือกเสร็จสิ้น โปเกมอนจะทำการประเมินบริการให้กับผู้ฝึกเลือก และการตัดสินจะแบ่งออกเป็น 3 ระดับ
124808,         #C0xF76B45#完美服务：#C0x5B545B#没有错误且顺序无误,         #C0xF76B45#完美服務：#C0x5B545B#沒有錯誤且順序無誤,         #C0xF76B45#Perfect served: #C0x5B545B# There is no error and the order is correct,,#C0xF76B45#완벽 서비스: #C0x5B545B#착오가 없고 순서도 정확하다.,#C0xF76B45#Perfeitamente servido: #C0x5B545B# Não há erro e a ordem está correta,#C0xF76B45#เสิร์ฟสมบูรณ์แบบ: #C0x5B545B# ไม่มีข้อผิดพลาดและลำดับถูกต้อง
124809,         #C0xF76B45#良好服务：#C0x5B545B#没有错误但顺序有误,         #C0xF76B45#良好服務：#C0x5B545B#沒有錯誤但順序有誤,         #C0xF76B45#Good served: #C0x5B545B# There is no error but the order is wrong,,#C0xF76B45#보통 서비스: #C0x5B545B#착오가 없지먼 순서가 틀렸다.,"#C0xF76B45#Bem servido: #C0x5B545B# Não há erro, mas a ordem está errada",#C0xF76B45#เสิร์ฟดี: #C0x5B545B# ไม่มีข้อผิดพลาดแต่ลำดับไม่ถูกต้อง
124810,         #C0xF76B45#瑕疵服务：#C0x5B545B#有错选的需求,         #C0xF76B45#瑕疵服務：#C0x5B545B#有錯選的需求,         #C0xF76B45# Badly served: #C0x5B545B# There is a wrong choice,,#C0xF76B45#불량 서비스: #C0x5B545B#잘못 선택한 수요가 있다.,#C0xF76B45# Mal servido: #C0x5B545B# Há uma escolha errada,#C0xF76B45# บริการไม่ดี: #C0x5B545B# มีทางเลือกที่ผิด
124811,6.服务后会有服务评价展示，#C0xF76B45#但注意下一位顾客很快会上场提需求，不要错过记忆时间哦#C0x5B545B#,6.服務後會有服務評價展示，#C0xF76B45#但注意下一位顧客很快會上場提需求，不要錯過記憶時間哦#C0x5B545B#,"6. After served, there will be a service evaluation display, #C0xF76B45# but the next customer will soon come up to make request, don’t miss the memory time #C0x5B545B#",,6. 서비스 후 서비스 리뷰가 나오지만 #C0xF76B45#다음 고객은 바로 찾아와 주문할테니 기억 시간을 놓치지 않도록 주의하세요.#C0x5B545B#,"6. Após o atendimento, haverá uma exibição de avaliação do serviço, #C0xF76B45#, mas o próximo cliente logo aparecerá para fazer o pedido, não perca o tempo de memória #C0x5B545B#",6. หลังจากให้บริการแล้ว จะมีการแสดงการประเมินบริการ #C0xF76B45# แต่ลูกค้ารายต่อไปจะเข้ามาขอใช้บริการในเร็วๆ นี้ อย่าพลาดเวลาในการบันทึกข้อมูล #C0x5B545B#
124812,7.随着服务轮数的提高，精灵提出的需求可能也会变多,7.隨著服務輪數的提高，精靈提出的需求可能也會變多,"7. As the number of service rounds increases, the demands made by Pokémon may also increase",,7. 서비스 라운드 수가 증가함에 따라 포켓몬의 주문 내용도 많아질 수 있습니다.,"7. À medida que o número de rodadas de serviço aumenta, as demandas feitas pelos Pokémon também podem aumentar",7. เมื่อจำนวนรอบการให้บริการเพิ่มมากขึ้น ความต้องการของโปเกมอนก็อาจเพิ่มขึ้นเช่นกัน
124813,8.总倒计时结束后停止营业，会根据训练家的服务状态结算最后的奖励物品,8.總倒計時結束後停止營業，會根據訓練家的服務狀態結算最後的獎勵物品,"8. After the total countdown is over, business will be closed, and the final reward items will be settled according to the trainer’s service result",,8. 총 카운트다운이 끝난 후 영업가 종료되면 트레이너들의 서비스 상태에 따라 최종 보상을 결산합니다.,"8. Após o término da contagem regressiva total, o negócio será encerrado e os itens de recompensa final serão liquidados de acordo com o resultado do serviço do treinador.",8. เมื่อการนับถอยหลังทั้งหมดสิ้นสุดลง ธุรกิจจะถูกปิด และรางวัลสุดท้ายจะถูกชำระตามผลการบริการของเทรนเนอร์
,,,,,,,
124901,#L10##C0xF76B45#"沙滩上灵动的影子，精灵们的沙滩排球开始啦！",#L10##C0xF76B45#"沙灘上靈動的影子，精靈們的沙灘排球開始啦！","#L10##C0xF76B45#""The shadows on the beach, the Pokémons' beach volleyball has begun! """,,"#L10##C0xF76B45#""모래사장의 활기찬 그림자, 포켓몬들의 비치발리볼 시작됩니다!""","#L10##C0xF76B45#""As sombras na praia, o vôlei de praia dos Pokémon começou!""",#L10##C0xF76B45#"เงาบนชายหาด วอลเลย์บอลชายหาดของเหล่าโปเกมอนได้เริ่มขึ้นแล้ว! "
124902,#L10##C0xF76B45#【活动规则】:,#L10##C0xF76B45#【活動規則】:,#L10##C0xF76B45#[Activity Rules]:,,#L10##C0xF76B45#[이벤트 규칙]:,#L10##C0xF76B45#[Regras da atividade]:,#L10##C0xF76B45#[กฎกิจกรรม]:
124903,1.活动开启后，玩家可以在沙滩上畅玩排球，每日没有次数限制,1.活動開啓後，玩家可以在沙灘上暢玩排球，每日沒有次數限制,"1. After the event is opened, trainers can play volleyball on the beach without attempt limit each day",,"1. 이벤트가 시작된 후, 매일 횟수 제한 없이 모래사장에서 배구를 즐길 수 있습니다.","1. Após a abertura do evento, os treinadores podem jogar vôlei na praia sem limite de tentativas a cada dia",1. หลังจากเปิดกิจกรรมแล้ว ผู้ฝึกสอนสามารถเล่นวอลเลย์บอลบนชายหาดได้โดยไม่มีขีดจำกัดจำนวนครั้งในแต่ละวัน
124904,2.进入游戏后，玩家需要选择三种属性的其中一种作为使用精灵的优势属性,2.進入遊戲後，玩家需要選擇三種屬性的其中一種作爲使用精靈的優勢屬性,"2. After entering the game, the player needs to choose one of the three attributes as the advantage attribute for Pokémon you use",,2. 게임에 들어간 후 포켓몬의 장점 속성으로 3가지 속성 중 하나를 선택해야 합니다.,"2. Após entrar no jogo, o jogador precisa escolher um dos três atributos como atributo de vantagem para o Pokémon que você usa",2. หลังจากเข้าเกมแล้ว ผู้เล่นจะต้องเลือกคุณสมบัติ 1 ใน 3 อย่างที่เป็นคุณสมบัติที่ได้เปรียบสำหรับโปเกมอนที่คุณใช้
124905,3.选择后会为您派遣对应的精灵出战！,3.選擇後會爲您派遣對應的精靈出戰！,"3. After selection, the corresponding Pokémon will be sent to the battle!",,3. 선택 후 해당 포켓몬을 보내 출전합니다!,"3. Após a seleção, o Pokémon correspondente será enviado para a batalha!",3. หลังจากเลือกแล้ว โปเกมอนที่เกี่ยวข้องจะถูกส่งเข้าสู่การต่อสู้!
124906,4.场地默认左边是己方场地，右边是对手场地,4.場地默認左邊是己方場地，右邊是對手場地,"4. By default, the left side of the field is your own field, and the right side is the opponent field.",,"4. 장소 왼쪽이 자기편 코트이며, 오른쪽은 상대 코트입니다.","4. Por padrão, o lado esquerdo do campo é o seu próprio campo e o lado direito é o campo do adversário.",4. โดยค่าเริ่มต้น ด้านซ้ายของสนามจะเป็นสนามของคุณ และด้านขวาเป็นสนามของฝ่ายตรงข้าม
124907,5.玩家可以左右移动精灵，精灵们会用头回击对方打来的球，玩家还可以用下面三种方式秀操作\n,5.玩家可以左右移動精靈，精靈們會用頭回擊對方打來的球，玩家還可以用下面三種方式秀操作\n,"5. The player can move the Pokémon left and right, Pokémon will hit back the ball from the opponent by their heads, and the player can also use the following three ways to fight back your opponent\n",,"5. 포켓몬을 좌우로 움직일 수 있고 상대방이 쳐온 공을 헤딩으로 받아치며, 다음 3가지 방법으로 조작을 할 수 있습니다.\n","5. O jogador pode mover o Pokémon para a esquerda e para a direita, o Pokémon rebaterá a bola do oponente com a cabeça, e o jogador também pode usar as três maneiras a seguir para lutar contra o oponente\n",5. ผู้เล่นสามารถขยับโปเกมอนไปทางซ้ายและขวา โปเกมอนจะตีลูกบอลของฝ่ายตรงข้ามกลับไปที่หัว และผู้เล่นยังสามารถใช้สามวิธีต่อไปนี้เพื่อต่อสู้กับฝ่ายตรงข้ามได้อีกด้วย\n
124908,6.球打回到对方界内，但对方没接到时，就可以获得1分,6.球打回到對方界內，但對方沒接到時，就可以獲得1分,"6. When the ball returns to the opponent's bounds, but the opponent does not catch it, you will get 1 point",,6.공은 상대 경계선 안으로 돌아가 상대가 받지 못하면 자기 편 1점을 획득합니다.,"6. Quando a bola retorna aos limites do adversário, mas o adversário não a pega, você ganha 1 ponto",6. เมื่อลูกบอลกลับมาถึงสนามของฝ่ายตรงข้าม แต่ฝ่ายตรงข้ามไม่รับลูกบอล คุณจะได้รับ 1 คะแนน
124909,7.如果打到对方界外，或者因为失误自己打出界外，会让对手获得1分,7.如果打到對方界外，或者因爲失誤自己打出界外，會讓對手獲得1分,"7. If you hit out of bounds, your opponent will get 1 point.",,7.상대 경계선 밖으로 치거나 자기 실수로 아웃되면 상대가 1점을 획득합니다.,"7. Se você bater fora dos limites, seu oponente ganhará 1 ponto.",7. หากคุณตีออกนอกขอบเขต คู่ต่อสู้ของคุณจะได้รับ 1 แต้ม
124910,8.优先获得3分的一方为胜利方,8.優先獲得3分的一方爲勝利方,8. Player that gets 3 points first wins,,8. 3점을 먼저 획득한 쪽이 승리합니다.,8. O jogador que fizer 3 pontos primeiro vence,8. ผู้เล่นที่ได้ 3 แต้มก่อนเป็นผู้ชนะ
124911,9.完成对应任务可以获得丰厚的奖励,9.完成對應任務可以獲得豐厚的獎勵,9. Completing the corresponding tasks can get rich rewards,,9. 해당 퀘스트를 완료하면 푸짐한 보상을 획득할 수 있습니다.,9. Concluir as tarefas correspondentes pode gerar recompensas valiosas,9. การทำภารกิจที่เกี่ยวข้องให้สำเร็จจะได้รับรางวัลอันล้ำค่า
,,,,,,,
125001,#L10##C0xF76B45#"欢迎来到夏日祭探险",#L10##C0xF76B45#"歡迎來到夏日祭探險",#L10##C0xF76B45# "Welcome to the Summer Adventure Explore",,#L10##C0xF76B45#"여름축제 탐험에 오신 것을 환영합니다",#L10##C0xF76B45# "Bem-vindo à aventura de verão Explore",#L10##C0xF76B45# "ยินดีต้อนรับสู่การผจญภัยในฤดูร้อน"
125002,#C0xF76B45#传说在湖中神殿里，居住着世界上最美的宝可梦……#C0x5B545B#,#C0xF76B45#傳說在湖中神殿裏，居住著世界上最美的寶可夢……#C0x5B545B#,"#C0xF76B45# It is said that there is a temple of the lake, where the most beautiful Pokémon lives in...#C0x5B545B#",,#C0xF76B45#전설에 의하면 호수의 신전 안에 세계에서 가장 아름다운 포켓몬들이 살고 있다.......#C0x5B545B#,"#C0xF76B45# Dizem que existe um templo no lago, onde vive o Pokémon mais bonito...#C0x5B545B#",#C0xF76B45# ว่ากันว่ามีวัดแห่งหนึ่งริมทะเลสาบ ซึ่งเป็นที่อาศัยของโปเกมอนที่สวยที่สุด...#C0x5B545B#
125003,#C0xF76B45#基础说明：#C0x5B545B#,#C0xF76B45#基礎說明：#C0x5B545B#,#C0xF76B45#Basic description: #C0x5B545B#,,#C0xF76B45#기초 설명: #C0x5B545B#,#C0xF76B45#Descrição básica: #C0x5B545B#,#C0xF76B45#คำอธิบายพื้นฐาน: #C0x5B545B#
125004,1.每日开启固定数量的副本，副本未通关前可重复尝试挑战,1.每日開啓固定數量的副本，副本未通關前可重複嘗試挑戰,"1. Unlock certain amount of stages each day, able to challenge repeatedly before stage is cleared",,"1. 매일 고정 수량의 던전이 열리며, 던전 클리어 전 재시도 가능합니다.","1. Desbloqueie uma certa quantidade de fases a cada dia, podendo desafiar repetidamente antes que a fase seja concluída",1. ปลดล็อคด่านจำนวนหนึ่งในแต่ละวัน สามารถท้าทายซ้ำๆ ได้ก่อนที่ด่านจะผ่าน
125005,2.副本首次通关后不可重复挑战，通关上一关才能开启下一关的挑战,2.副本首次通關後不可重複挑戰，通關上一關才能開啓下一關的挑戰,2. Unable to challenge repeatedly after stage first clearance. Need to clear current stage to unlock next stage,,"2. 던전 첫 클리어 후 중복 도전 불가이며, 지난 스테이지를 먼저 클리어 해야 다음 스테이지를 도전 할 수 있습니다.",2. Não é possível desafiar repetidamente após a liberação do primeiro estágio. É necessário limpar o estágio atual para desbloquear o próximo estágio,2. ไม่สามารถท้าทายซ้ำได้หลังจากผ่านด่านแรกแล้ว จำเป็นต้องผ่านด่านปัจจุบันเพื่อปลดล็อกด่านต่อไป
125006,3.副本内的对话隐藏着通关技巧，通关后信息界面可查看剧情回顾,3.副本內的對話隱藏著通關技巧，通關後信息界面可查看劇情回顧,"3. Special tips is hidden in the conversations of stages. After stage clear, you can view the plot review on the information interface",,"3. 던전 내의 대화에는 클리어 노하우가 숨어 있으며, 클리어 후 정보 페이지에서 줄거리를 다시 볼 수 있습니다.","3. Dicas especiais estão escondidas nas conversas dos estágios. Após a conclusão do estágio, você pode visualizar a revisão do enredo na interface de informações",3. เคล็ดลับพิเศษถูกซ่อนอยู่ในบทสนทนาในแต่ละด่าน หลังจากเคลียร์ด่านแล้ว คุณสามารถดูการทบทวนเนื้อเรื่องได้บนอินเทอร์เฟซข้อมูล
