变量名,key,text,text_tw,text_en,text_vn,text_kr,text_pt,text_th
8108,rmbRewardEndTips,Event has ended.\nRebate will not be granted for more Diamonds consumed. Come and claim your rebate in time!,活動已結束！\n消耗的鉆石不再累積或返利！快領取您的返利吧！,Event has ended.\nRebate will not be granted for more Diamonds consumed. Come and claim your rebate in time!,Sự kiện đã kết thúc!\nKim cương đã tiêu hao sẽ không được tích lũy hoặc hoàn lại nữa! Nhanh chóng nhận phần hoàn lại của bạn nào!,이벤트가 종료됐습니다! \n소모한 다이아는 누적 또는 페이백 되지 않습니다! 어서 페이백을 수령하세요!,O evento terminou.nO desconto não será concedido para mais Diamantes consumidos. Venha e reivindique seu desconto a tempo!,กิจกรรมสิ้นสุดลงแล้ว จะไม่มีการคืนเงินหากใช้เพชรเกินจำนวนที่กำหนด รีบมารับส่วนลดของคุณทันที!
8109,rmbRewardBottonTips,Note: Events such as Fortune Meowth are not counted in the rebate accumulation.,註：招財喵喵等類似活動不屬於本活動返利累積範疇,Note: Events such as Fortune Meowth are not counted in the rebate accumulation.,Lưu ý: Các sự kiện tương tự như sự kiện Mèo May Mắn không được tính vào tổng số tiền hoàn trả của sự kiện này.,주의: 마네키네코 등 같은 이벤트는 이번 이벤트 페이백 누적 범위에 속하지 않습니다,Observação: eventos como Fortune Meowth não são contabilizados no acúmulo de descontos.,หมายเหตุ: กิจกรรมเช่น Fortune Meowth จะไม่ถูกนับรวมในการสะสมเงินคืน
8110,rmbRewardEndBottonTips,Note: Unclaimed rebate and bonus rewards will be sent to you by mail when the claiming period ends.,註：領取時間結束後，未領取的返利和額外獎勵將以郵件的方式發送給您,Note: Unclaimed rebate and bonus rewards will be sent to you by mail when the claiming period ends.,"Lưu ý: Sau khi thời gian nhận quà kết thúc, phần hoàn trả và phần thưởng bổ sung chưa được nhận sẽ được gửi đến bạn qua email.",주의: 수령 시간이 지나면 미수령 페이백 및 추가 보상은 우편으로 지급해 드립니다,Observação: os descontos e bônus não reivindicados serão enviados a você por correio quando o período de reivindicação terminar.,หมายเหตุ: ส่วนลดและรางวัลโบนัสที่ไม่ได้รับการอ้างสิทธิ์จะถูกส่งถึงคุณทางไปรษณีย์เมื่อช่วงเวลาการอ้างสิทธิ์สิ้นสุดลง
8111,goldRewardTips,Spend Coins to increase the rebate rate!\nSpend more for a higher rate as well as extra rewards!,花費金幣可提高返利比率！\n返利比率越花越高！還有額外獎品贈送！,Spend Coins to increase the rebate rate!\nSpend more for a higher rate as well as extra rewards!,Dùng vàng để tăng tỷ lệ hoàn trả!\nTỷ lệ hoàn trả càng cao càng chi nhiều! Còn có quà tặng thêm nữa!,코인을 소모하면 페이백 비율을 올릴 수 있습니다! \n소비할수록 페이백 비율이 높아집니다! 그리고 추가 보상도 드립니다!,Gaste moedas para aumentar a taxa de desconto!nGaste mais para obter uma taxa mais alta e recompensas extras!,ใช้เหรียญเพื่อเพิ่มอัตราส่วนลด!nใช้มากขึ้นเพื่อรับอัตราที่สูงขึ้นและรับรางวัลพิเศษเพิ่มเติม!
8112,goldRewardFixTips,Spend coins to enjoy a rebate!\nSpend more for a bigger rebate as well as extra rewards!,花費金幣可按比率返利！\n花費越多返利越多！還有額外獎品贈送！,Spend coins to enjoy a rebate!\nSpend more for a bigger rebate as well as extra rewards!,"Dùng vàng để nhận tiền hoàn lại theo tỷ lệ!\nTiêu càng nhiều, hoàn lại càng nhiều! Còn có quà tặng thêm!",코인을 소모하면 비율에 따라 페이백합니다! \n소비할수록 페이백이 높아집니다! 그리고 추가 보상도 드립니다!,Gaste moedas para aproveitar um desconto!nGaste mais para obter um desconto maior e também recompensas extras!,ใช้เหรียญเพื่อรับส่วนลด!nใช้มากขึ้นเพื่อรับส่วนลดที่มากขึ้น รวมถึงรางวัลพิเศษเพิ่มเติม!
8113,goldRewardEndTips,Event has ended.\nRebate will not be granted for more Coins consumed. Come and claim your rebate in time!,活動已結束！\n消耗的金幣不再累積或返利！快領取您的返利吧！,Event has ended.\nRebate will not be granted for more Coins consumed. Come and claim your rebate in time!,Sự kiện đã kết thúc!\nSố xu đã tiêu hao sẽ không còn được tích lũy hoặc hoàn lại nữa! Hãy nhận tiền hoàn lại của bạn ngay bây giờ!,이벤트가 종료됐습니다! \n소모한 코인은 누적 또는 페이백 되지 않습니다! 어서 페이백을 수령하세요!,O evento terminou.nO desconto não será concedido para mais moedas consumidas. Venha e reivindique seu desconto a tempo!,กิจกรรมสิ้นสุดลงแล้วnจะไม่มีการคืนเงินหากใช้เหรียญเกินจำนวนที่กำหนด รีบมารับรางวัลของคุณทันที!
8114,goldRewardBottonTips,Note: Events such as Tuitui Coin are not counted in the rebate accumulation.,註：推推幣等類似活動不屬於本活動返利累積範疇,Note: Events such as Tuitui Coin are not counted in the rebate accumulation.,Lưu ý: Các hoạt động tương tự như tiền xu Đẩy Đẩy không được tính vào phạm vi hoàn tiền tích lũy của sự kiện này.,주의: 코인 푸시 등 같은 이벤트는 이번 이벤트 페이백 누적 범위에 속하지 않습니다,Observação: eventos como o Tuitui Coin não são contabilizados no acúmulo de descontos.,หมายเหตุ: กิจกรรมเช่น Tuitui Coin จะไม่ถูกนับรวมในการสะสมเงินคืน
8115,goldRewardEndBottonTips,Note: Unclaimed rebate and bonus rewards will be sent to you by mail when the claiming period ends.,註：領取時間結束後，未領取的返利和額外獎勵將以郵件的方式發送給您,Note: Unclaimed rebate and bonus rewards will be sent to you by mail when the claiming period ends.,"Lưu ý: Sau khi thời gian nhận quà kết thúc, phần hoàn trả và phần thưởng bổ sung chưa được nhận sẽ được gửi đến bạn qua email.",주의: 수령 시간이 지나면 미수령 페이백 및 추가 보상은 우편으로 지급해 드립니다,Observação: os descontos e bônus não reivindicados serão enviados a você por correio quando o período de reivindicação terminar.,หมายเหตุ: ส่วนลดและรางวัลโบนัสที่ไม่ได้รับการอ้างสิทธิ์จะถูกส่งถึงคุณทางไปรษณีย์เมื่อช่วงเวลาการอ้างสิทธิ์สิ้นสุดลง
8116,rmbGoldRewardRules,Rebate Rules,消耗返利說明,Rebate Rules,Giải thích hoàn tiền khi tiêu thụ,소모 페이백 설명,Regras de desconto,กฎการคืนเงิน
8117,ruleInfo,#L10#\t\tPhase\t\t\tconsumption\t\trebate rate,#L10#\t\t階段\t\t\t消耗數量\t\t返利比率,#L10#\t\tPhase\t\t\tconsumption\t\trebate rate,#L10#		Giai đoạn			Số lượng tiêu hao		Tỷ lệ hoàn trả,#L10#\t\t단계 \t\t\t 소모 수량\t\t 페이백 비율,#L10#ttFasetttconsumotttaxa de desconto,#L10#ttเฟสttttอัตราส่วนลดการบริโภค
8118,ruleRate,Phase %s,第%s階段,Phase %s,Giai đoạn %s,제 %s 단계,Fase %s,เฟส %s
8119,rateInfo,Current Rebate Rate,當前返利比率,Current Rebate Rate,Tỷ lệ hoàn tiền hiện tại,현재 페이백 비율,Taxa de desconto atual,อัตราการคืนเงินปัจจุบัน
8120,rateFixInfo,Rebate Rate,返利比率,Rebate Rate,Tỷ lệ hoàn tiền,페이백 비율,Taxa de desconto,อัตราการคืนเงิน
8121,fishingLvNotEnoughEnterScene,Available at Fishing Lv.%d,釣魚等級達到LV.%d後可選擇該場景,Available at Fishing Lv.%d,Bạn có thể chọn địa điểm này sau khi cấp độ câu cá của bạn đạt LV.%d.,낚시 레벨 LV.%d 달성 시 해당 장소 선택 가능,Disponível em Pesca Lv.%s,มีจำหน่ายที่ Fishing Lv.%s
8122,cantUseFeaturesByChangeUnion,Functions will be available the next day after changing Guild.,更換公會後功能要次日可使用！,Functions will be available the next day after changing Guild.,Chức năng sẽ khả dụng vào ngày hôm sau sau khi thay đổi bang hội!,길드 변경 후 기능은 다음 날부터 사용이 가능합니다!,As funções estarão disponíveis no dia seguinte após a mudança de Guilda.,ฟังก์ชั่นจะสามารถใช้งานได้ในวันถัดไปหลังจากเปลี่ยนกิลด์
8123,unionFubenNoOpen,Guild Dungeon opens at 9:30 - 23:30 from Monday to Saturday.,公會副本將於週一至週六9:30-23:30期間開啟,Guild Dungeon opens at 9:30 - 23:30 from Monday to Saturday.,"Phó bản bang hội sẽ mở cửa từ 9:30 đến 23:30, từ thứ Hai đến thứ Bảy.",길드 던전은 월~토요일 9:30~23:30에 개방됩니다.,O Calabouço da Guilda abre das 9h30 às 23h30 de segunda a sábado.,Guild Dungeon เปิดให้บริการเวลา 9:30 - 23:30 น. ตั้งแต่วันจันทร์ถึงวันเสาร์
8124,noRmbGoldRewardGet,You don't have rebate to claim.,您未有可領取返利,You don't have rebate to claim.,Bạn không có khoản hoàn lại nào để nhận.,아직 수령하지 않은 페이백이 있습니다,Você não tem desconto para reivindicar.,คุณไม่มีส่วนลดที่จะเรียกร้อง
8125,totalTodo,Total: %s time(s),共進行%s次,Total: %s time(s),Đã thực hiện %s lần,총 %s회 진행,Total: %s vez(es),รวม: %s ครั้ง
8126,totalReset,Blitz %s time(s) in total,共掃蕩%s次,Blitz %s time(s) in total,Đã quét sạch %s lần,소탕 총 %s회,Blitz %s vez(es) no total,บลิทซ์ %s เวลารวม
8127,oneKey,Quick,一鍵,Quick,Một chạm,간편,Rápido,เร็ว
8128,mopUp1,Raid,掃蕩,Raid,Quét sạch,소탕,Ataque,บุกโจมตี
8129,successAndFailTimes,Wins: %s. Losses: %s,成功%s次，失敗%s次,Wins: %s. Losses: %s,"Thành công %s lần, thất bại %s lần","%s회 성공, %s회 실패",Vitórias: %s. Perdas: %s,ชนะ: %s แพ้: %s
8130,oneKeySignet,*Automatically ascend in Quick Inscribe.,* 快速刻印時會自動突破,*Automatically ascend in Quick Inscribe.,Tự động đột phá khi khắc ấn nhanh.,*쾌속 각인 시 자동 돌파,*Ascender automaticamente no Quick Inscription.,*เพิ่มระดับโดยอัตโนมัติใน Quick Inscribe
8131,signetOk,Inscribed,刻印成功,Inscribed,Khắc ấn thành công,각인 성공,Inscrito,จารึกไว้
8132,rmbGoldRewardMax,Max rebate rate reached.,已到達返利最大比率！,Max rebate rate reached.,Đã đạt tỷ lệ hoàn tiền tối đa!,이미 최대 페이백 비율입니다!,Taxa máxima de desconto atingida.,อัตราการคืนเงินสูงสุดถึงแล้ว
8133,vipSignupShow,VIP%d will auto sign up.,vip%d將自動進行報名,VIP%d will auto sign up.,VIP%d sẽ tự động đăng ký,vip%d 시 자동으로 신청합니다,VIP%s será inscrito automaticamente.,VIP%s จะลงทะเบียนโดยอัตโนมัติ
8134,activityEnd,Countdown,距離結束,Countdown,Khoảng cách đến hồi kết,종료까지,Contagem regressiva,นับถอยหลัง
8135,signetLevel,Lv.,級,Lv.,Cấp,레벨,Nível.,ระดับ
8136,signetAnd,And,和,And,và,&,E,และ
8137,mailUpperLimit,Mails:,郵件數量:,Mails:,Số lượng email:,우편 수량:,E-mails:,เมล:
8138,wishSuccess,#C0xFF5B545B#Guild Wish: Wishing #C0xE79900#%s #C0xFF5B545B#succeeds!,#C0xFF5B545B#公會許願：今日許願已成功進行，許願 #C0xE79900#%s #C0xFF5B545B#成功!,#C0xFF5B545B#Guild Wish: Wishing #C0xE79900#%s #C0xFF5B545B#succeeds!,"#C0xFF5B545B#Ước nguyện bang hội: Lần cầu nguyện hôm nay đã thành công, ước nguyện #C0xE79900#%s #C0xFF5B545B#thành công!",#C0xFF5B545B#길드 소원 빌기: 오늘의 소원 빌기가 진행되어 #C0xE79900#%s #C0xFF5B545B#소원을 빌었습니다!,#C0xFF5B545B#Desejo da Guilda: Desejando #C0xE79900#%s #C0xFF5B545B#sucesso!,#C0xFF5B545B#ความปรารถนาของกิลด์: ความปรารถนา #C0xE79900#%s #C0xFF5B545B# สำเร็จ!
8139,mopUpNotes,Raid Note,掃蕩備註,Raid Note,Ghi chú quét,소탕 비고,Nota de ataque,หมายเหตุการจู่โจม
8140,skyscraperMedalsName1,Novice Builder,工程小白,Novice Builder,Người mới học kỹ thuật,청정수 엔지니어,Construtor iniciante,ผู้สร้างมือใหม่
8141,skyscraperMedalsName2,Pro Builder,建築工頭,Pro Builder,Quản đốc xây dựng,건설 인부장,Construtor profissional,โปรบิลเดอร์
8142,skyscraperMedalsName3,Expert Engineer,專業工程師,Expert Engineer,Kỹ sư chuyên nghiệp,전문 엔지니어,Engenheiro Especialista,วิศวกรผู้เชี่ยวชาญ
8143,skyscraperMedalsName4,Pro Engineer,高級工程師,Pro Engineer,Kỹ sư cao cấp,고급 엔지니어,Engenheiro profissional,วิศวกรมืออาชีพ
8144,wishSuccess1,Wishing Succeeds,許願成功,Wishing Succeeds,Ước nguyện thành công,#C0xFF5B545B#길드 소원 빌기: 현재 아직 소원 포켓몬을 선택하지 않아 소원 빌기를 진행할 수 없습니다,Desejando Sucesso,ขอให้พรประสบผลสำเร็จ
8145,dailyAssistantCantTodo,Not available for now,無法進行掃蕩，請前往功能系統內查看,Not available for now,"Không thể quét, vui lòng kiểm tra trong hệ thống chức năng.",#C0xFF5B545B#낚시: 미끼가 부족하여 %s회의 포획을 진행할 수 없습니다,Não disponível no momento,ไม่สามารถใช้งานได้ในขณะนี้
8146,dailyAssistantJumpCatch,Skip Catching in Fishing contest,釣魚大賽時跳過捕撈,Skip Catching in Fishing contest,Bỏ qua việc câu cá trong cuộc thi câu cá,#C0xFF5B545B#길드 기부: %s(이)가 부족하여 %s회의 기부를 진행할 수 없습니다,Concurso Skip Catching in Fishing,การแข่งขันกระโดดข้ามสิ่งกีดขวางในการตกปลา
8147,dailyAssistantFishTip,"If you cancel ""Skip Catching in Fishing contest"", ""Quick Op"" still consumes fishing chances during Fishing contest. Continue to cancel?",不開啟'釣魚大賽時跳過捕撈'，釣魚大賽期間一鍵進行仍然會消耗釣魚次數，確定取消嗎？,"If you cancel ""Skip Catching in Fishing contest"", ""Quick Op"" still consumes fishing chances during Fishing contest. Continue to cancel?","Nếu không bật 'Bỏ qua câu cá trong Giải đấu câu cá', sử dụng chức năng câu cá một nút trong giải đấu vẫn sẽ tiêu hao lượt câu cá. Bạn có chắc chắn muốn hủy không?",현재 만족하지 않은 요구 항목이 있어 %s을(를) 진행할 수 없습니다,"Se você cancelar ""Skip Catching in Fishing contest"", ""Quick Op"" ainda consome chances de pesca durante o Fishing contest. Continuar a cancelar?","หากคุณยกเลิก ""การข้ามการจับปลาในการแข่งขันตกปลา"" ""การกระโดด"" จะยังคงใช้โอกาสในการตกปลาในระหว่างการแข่งขันตกปลา ดำเนินการยกเลิกต่อไปหรือไม่"
8148,dailyAssistantEndlessTip,Auto Reset,自動重置,Auto Reset,Tự động đặt lại,낚시대회 시 포획 건너뛰기,Reinicialização automática,รีเซ็ตอัตโนมัติ
8149,dailyAssistantEndlessTip1,#C0xFF5B545B#Resetting Road of Adventure costs Diamonds.#Icommon/icon/icon_diamond.png-56-56#%s Continue?,#C0xFF5B545B#本次重置冒險之路需花費鉆石#Icommon/icon/icon_diamond.png-56-56#%s，是否繼續？,#C0xFF5B545B#Resetting Road of Adventure costs Diamonds.#Icommon/icon/icon_diamond.png-56-56#%s Continue?,Khởi tạo lại hành trình phiêu lưu sẽ tốn %s kim cương#Icommon/icon/icon_diamond.png-56-56#. Tiếp tục?,낚시대회 시 포획 건너뛰기'를 활성화하지 않았다면 낚시대회 기간에 간편 진행 시 여전히 낚시 횟수를 소모합니다. 취소하시겠습니까?,#C0xFF5B545B#Reiniciar a Estrada da Aventura custa Diamantes.#Icommon/icon/icon_diamond.png-56-56#%s Continuar?,#C0xFF5B545B#การรีเซ็ต Road of Adventure ต้องใช้เพชร#Icommon/icon/icon_diamond.png-56-56#%s ดำเนินการต่อหรือไม่?
8150,skyScraperTimeError,Please don't use booster or switch background.,請不要開啟加速器或者切換後臺,Please don't use booster or switch background.,Vui lòng không sử dụng trình tăng tốc hoặc chuyển đổi ứng dụng nền.,부스터를 켜거나 백그라운드를 전환하지 마세요.,"Por favor, não use booster nem troque o plano de fundo.",โปรดอย่าใช้บูสเตอร์หรือสลับพื้นหลัง
8151,dailyAssistantChangeSuccess,Switched. Current: %s,更換成功，當前選擇：%s,Switched. Current: %s,"Thay đổi thành công, hiện đang chọn: %s","교체 성공, 현재 선택: %s",Comutado. Atual: %s,สลับ กระแสไฟ: %s
8152,inCrossMine,Cross-server Mall in bidding,商業街競標中,Cross-server Mall in bidding,Đấu thầu khu phố thương mại đang diễn ra,상가 경쟁입찰 중,Shopping multiservidor em licitação,ศูนย์การค้าข้ามเซิร์ฟเวอร์ในการประมูล
8153,inCrossMineCantDecompose,Pokémon is bidding in Cross-server Mall. Unable to disenchant.,精靈正在商業街競標中，無法分解,Pokémon is bidding in Cross-server Mall. Unable to disenchant.,Pokémon đang trong cuộc đấu giá ở Phố Thương mại và không thể phân rã.,포켓몬은 상가 경쟁입찰 중이니 분해할 수 없습니다.,Pokémon está dando lances no Cross-server Mall. Não é possível desencantar.,โปเกมอนกำลังประมูลในห้างสรรพสินค้าข้ามเซิร์ฟเวอร์ ไม่สามารถถอนคาถาได้
8154,lightUp,Activate,點亮,Activate,Thắp sáng,밝히다,Ativar,เปิดใช้งาน
8155,dailyAssistantActiveTxt,Events in %s,%s中的活動,Events in %s,Sự kiện trong %s,%s의 이벤트,Eventos em %s,เหตุการณ์ใน%s
8156,gamePassportBuyExpText,#L10##C0xFF5B545B#Purchase #L10##C0xFFFB6E46#%s#L10##C0xFF5B545B# time(s) (Today's Purchases: #L10##C0xFFFB6E46#%s#L10##C0xFF5B545B#/%s),#L10##C0xFF5B545B#購買#L10##C0xFFFB6E46#%s#L10##C0xFF5B545B#次(今日已購買#L10##C0xFFFB6E46#%s#L10##C0xFF5B545B#/%s次),#L10##C0xFF5B545B#Purchase #L10##C0xFFFB6E46#%s#L10##C0xFF5B545B# time(s) (Today's Purchases: #L10##C0xFFFB6E46#%s#L10##C0xFF5B545B#/%s),Mua %s lần (Đã mua %s/%s lần hôm nay),%s회 구매 (오늘 %s/%s회 구매),#L10##C0xFF5B545B#Compra #L10##C0xFFFB6E46#%s#L10##C0xFF5B545B# vez(es) (Compras de hoje: #L10##C0xFFFB6E46#%s#L10##C0xFF5B545B#/%s),#L10##C0xFF5B545B#การซื้อ #L10##C0xFFFB6E46#%s#L10##C0xFF5B545B# ครั้ง (การซื้อของวันนี้: #L10##C0xFFFB6E46#%s#L10##C0xFF5B545B#/%s)
8157,gamePassportTitle2,"#L100000##C0xFFFEEE##LOC0x028692##LOS8#Complete Daily Quests,","#L100000##C0xFFFEEE##LOC0x028692##LOS8#每天完成日常任務,","#L100000##C0xFFFEEE##LOC0x028692##LOS8#Complete Daily Quests,",Hoàn thành nhiệm vụ hàng ngày mỗi ngày,매일 일일 과제를 완료하세요,"#L100000##C0xFFFEEE##LOC0x028692##LOS8#Complete as missões diárias,",#L100000##C0xFFFEEE##LOC0x028692##LOS8#ทำภารกิจประจำวันให้สำเร็จ
8158,gamePassportNextTitle2,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8# to win #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Rewards!,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8#贏取#L100000##C0xFCFFC2##LOC0x028692##LOS8#超值獎勵!,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8# to win #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Rewards!,Giành lấy phần thưởng siêu giá trị!,엄청난 보상을 획득하세요!,tt#L100000##C0xFFFEEE##LOC0x028692##LOS8# para ganhar #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Recompensas!,tt#L100000##C0xFFFEEE##LOC0x028692##LOS8# เพื่อลุ้นรับรางวัลสุดพิเศษ #L100000##C0xFCFFC2##LOC0x028692##LOS8#!
8159,gamePassportShowTip,All rewards are activated. Unable to purchase level.,已解鎖全部獎勵，暫無法購買等級!,All rewards are activated. Unable to purchase level.,"Đã mở khóa tất cả phần thưởng, hiện không thể mua cấp độ!","모든 보상이 해제되었으며, 아직 레벨을 구매할 수 없습니다!",Todas as recompensas estão ativadas. Não é possível comprar nível.,รางวัลทั้งหมดได้รับการเปิดใช้งานแล้ว ไม่สามารถซื้อระดับได้
8160,gamePassportShowTipFull,Today's Max purchases reached!,今日購買次數已達上限!,Today's Max purchases reached!,Đã đạt giới hạn mua hàng trong ngày!,일일 구매 횟수 제한에 도달했습니다!,O máximo de compras de hoje foi atingido!,วันนี้มียอดซื้อสูงสุดแล้ว!
8161,recordPassportDay,Day %s,第%s天,Day %s,Ngày %s,%s일차,Dia %s,วัน %s
8162,recordPassportShowDay,%s/%s/%s %s o'clock,%s年%s月%s日%02s時,%s/%s/%s %s o'clock,"Ngày %s tháng %s năm %s, lúc %02s",%s년 %s월 %s일 %02s시,%s/%s/%s %s horas,%s/%s/%s %s นาฬิกา
8163,recordPassportTitle1,#L10##C0xFF5B545B##F40#Obtain Supreme Reward,#L10##C0xFF5B545B##F40#啟動後可獲得,#L10##C0xFF5B545B##F40#Obtain Supreme Reward,#L10#C0xFF5B545B#F40#Có thể nhận được sau khi kích hoạt,#L10#C0xFF5B545B#F40#활성화 후 획득 가능,#L10##C0xFF5B545B##F40#Obtenha a Recompensa Suprema,#L10##C0xFF5B545B##F40#รับรางวัลสูงสุด
8164,recordPassportTitle2,"\t\t#L10##C0xFF5B545B# valued at #L100010##C0xFFDF6B56##LOC0xFFF8CB42##LOS4#¥1,288#L10##C0xFF5B545B# after activation!",\t\t#L10##C0xFF5B545B#價值#L100010##C0xFFDF6B56##LOC0xFFF8CB42##LOS4#￥688#L10##C0xFF5B545B#豪華獎勵！,"\t\t#L10##C0xFF5B545B# valued at #L100010##C0xFFDF6B56##LOC0xFFF8CB42##LOS4#¥1,288#L10##C0xFF5B545B# after activation!",#L10##C0xFF5B545B#Giá trị#L100010##C0xFFDF6B56##LOC0xFFF8CB42##LOS4#688$#L10##C0xFF5B545B#Phần thưởng sang trọng!,#L10##C0xFF5B545B#가치#L100010##C0xFFDF6B56##LOC0xFFF8CB42##LOS4#₩688#L10##C0xFF5B545B#고급 보상!,tt#L10##C0xFF5B545B# avaliado em #L100010##C0xFFDF6B56##LOC0xFFF8CB42##LOS4#¥1.288#L10##C0xFF5B545B# após ativação!,"tt#L10##C0xFF5B545B# มูลค่า #L100010##C0xFFDF6B56##LOC0xFFF8CB42##LOS4#¥1,288#L10##C0xFF5B545B# หลังจากเปิดใช้งาน!"
8165,recordPassportRmbShow,Original: ¥%s,原價 ￥%s,Original: ¥%s,Giá gốc %s$,원래 가격 %s원,Original: $ %s,ต้นฉบับ: $ %s
8166,gamePassportNowText2,Total Activity:,累計活躍度:,Total Activity:,Hoạt động tích lũy:,누적 활동량:,Atividade total:,กิจกรรมทั้งหมด:
8167,gamePassportNowText3,Total Floors:,累計通過層數:,Total Floors:,Tổng số tầng đã vượt qua:,총 클리어 층수:,Total de andares:,จำนวนชั้นทั้งหมด:
8168,gamePassportNowText4,Total Dungeon Challenges:,累計副本挑戰數：,Total Dungeon Challenges:,Số lần thách đấu phụ bản tích lũy:,누적 던전 도전 수:,Desafios totais do Dungeon:,ความท้าทายดันเจี้ยนทั้งหมด:
8169,gamePassportItemText2,Total Activity %s,累計活躍度%s,Total Activity %s,Hoạt động tích lũy %s,누적 활동 %s,Atividade Total %s,กิจกรรมทั้งหมด %s
8170,gamePassportItemText3,Total Clear %s Floor(s),累計通過%s層,Total Clear %s Floor(s),Đã vượt qua %s tầng,%s층 클리어,Total de pisos limpos %s,รวมเคลียร์ %s ชั้น
8171,gamePassportItemText4,Total Challenge %s Time(s),累計挑戰%s次,Total Challenge %s Time(s),Đã hoàn thành %s thử thách,%s번의 도전을 완료했습니다,Desafio total %s Tempo(s),รวมความท้าทาย %s เวลา
8172,gamePassportTitle3,"#L100000##C0xFFFEEE##LOC0x028692##LOS8#Clear Aether Paradise every day,","#L100000##C0xFFFEEE##LOC0x028692##LOS8#每天通關以太樂園,","#L100000##C0xFFFEEE##LOC0x028692##LOS8#Clear Aether Paradise every day,",Hoàn thành Aether Paradise mỗi ngày,매일 이터 파라다이스를 클리어하세요,"#L100000##C0xFFFEEE##LOC0x028692##LOS8#Limpe o Paraíso do Éter todos os dias,",#L100000##C0xFFFEEE##LOC0x028692##LOS8# เคลียร์ Aether Paradise ทุกวัน
8173,gamePassportNextTitle3,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8# to win #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Rewards!,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8#贏取#L100000##C0xFCFFC2##LOC0x028692##LOS8#超值獎勵!,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8# to win #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Rewards!,Giành lấy phần thưởng siêu giá trị!,멋진 보상을 획득하세요!,tt#L100000##C0xFFFEEE##LOC0x028692##LOS8# para ganhar #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Recompensas!,tt#L100000##C0xFFFEEE##LOC0x028692##LOS8# เพื่อลุ้นรับรางวัลสุดพิเศษ #L100000##C0xFCFFC2##LOC0x028692##LOS8#!
8174,gamePassportTitle4,"#L100000##C0xFFFEEE##LOC0x028692##LOS8#Challenge Gym Dungeon every week,","#L100000##C0xFFFEEE##LOC0x028692##LOS8#每週挑戰道館副本,","#L100000##C0xFFFEEE##LOC0x028692##LOS8#Challenge Gym Dungeon every week,",Thử thách phòng Gym hàng tuần,매주 체육관 도전,"#L100000##C0xFFFEEE##LOC0x028692##LOS8#Desafie o Calabouço do Ginásio toda semana,",#L100000##C0xFFFEEE##LOC0x028692##LOS8#Challenge Gym Dungeon ทุกสัปดาห์
8175,gamePassportNextTitle4,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8# to win #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Rewards!,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8#贏取#L100000##C0xFCFFC2##LOC0x028692##LOS8#超值獎勵!,\t\t#L100000##C0xFFFEEE##LOC0x028692##LOS8# to win #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Rewards!,Giành lấy phần thưởng siêu giá trị!,엄청난 보상을 획득하세요!,tt#L100000##C0xFFFEEE##LOC0x028692##LOS8# para ganhar #L100000##C0xFCFFC2##LOC0x028692##LOS8# Super Recompensas!,tt#L100000##C0xFFFEEE##LOC0x028692##LOS8# เพื่อลุ้นรับรางวัลสุดพิเศษ #L100000##C0xFCFFC2##LOC0x028692##LOS8#!
8176,dailyAssistantAutoFishingTips,In Auto Fishing. Unable to adjust.,當前正在自動釣魚中，不能進行調整哦！,In Auto Fishing. Unable to adjust.,"Hiện đang tự động câu cá, không thể điều chỉnh!",현재 자동 낚시 중이므로 조정할 수 없습니다!,Em Auto Fishing. Não é possível ajustar.,อยู่ในโหมดตกปลาอัตโนมัติครับ ปรับแต่งไม่ได้ครับ
8177,dailyAssistantGemSelectedTxt,Auto-decompose rare stones or inferior,藍色及藍色以下自動分解,Auto-decompose rare stones or inferior,Tự động phân hủy màu xanh và dưới màu xanh,파란색 및 파란색 이하 자동 분해,Pedras raras de autodecomposição ou inferiores,หินหายากหรือหินด้อยคุณภาพที่สลายตัวโดยอัตโนมัติ
8178,gamePassportBuyText,No follow-up rewards.,沒有後續獎勵,No follow-up rewards.,Không có phần thưởng nào khác,추가 보상 없음,Nenhuma recompensa de acompanhamento.,ไม่มีการติดตามผลตอบแทน
8179,gamePassportBuyExpText1,Ascend to Lv.,升至,Ascend to Lv.,Lên cấp đến,레벨업,Subir para o Nv.,ขึ้นสู่ Lv.
8180,gamePassportBuyExpText2,", and the following rewards will be unlocked:",立即解鎖以下獎勵,", and the following rewards will be unlocked:",Mở khóa ngay những phần thưởng sau,다음 보상을 즉시 잠금 해제하세요,", e as seguintes recompensas serão desbloqueadas:",และจะปลดล็อครางวัลดังต่อไปนี้:
